,poi_id,name,build_year,demolished_year,address,latitude,longitude,external_url,image_url,heritage_status,current_use,poi_type,source,details,style,category,cleaned_year,build_decade,poi_type_simple,sim_rating
2940,3115,526-528 Yonge Street,1881,,526-528 Yonge Street Downtown Toronto,43.66377,-79.38428,http://www.acotoronto.ca/show_building.php?BuildingID=2054,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/526-528Yonge.jpg,Historic Yonge Street Heritage Conservation District,Commercial,Low-rise,http://www.acotoronto.ca/,"Date is mid-1860Â´s, according to Heritage Properties Inventory, while McHugh has 1881.
This is a 2-1/2 storey painted brick and stone building in a high Second Empire style. The mansard roof is framed by end parapet firewalls and capped by projecting cornice. It terminates at a projecting
corniceÍ²gutter/entablature on brackets. The facade is symmetrically arranged in 3 bays separated by pilasters, with a larger more decorative central bay.
At the mansard two smaller dormers flank a larger central dormer with a square tower roof capped by projecting cornice. Small dormers have shed roofs on brackets, wood trim and lintels frame the
window openings. A second floor entablature spans the building divided by large decorative brackets at each pilaster and includes, projecting cornice, a bracketed frieze on corbelled brick and plain band
architrave/continuous window lintel.",Second empire,,1881.0,1880.0,Building,0.0
2939,3114,496 Yonge Street,1886,,496 Yonge Street Downtown Toronto,43.66309,-79.38399,http://www.acotoronto.ca/show_building.php?BuildingID=2056,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/496Yonge.jpg,Historic Yonge Street Heritage Conservation District,Commercial,Low-rise,http://www.acotoronto.ca/,"This building is a good example of late 19th century Second Empire styling that was updated with complementary Classical embellishments in the 20th century. Constructed of brick and trimmed with brick, stone and wood, the threeÍ²storey building features a rectangular plan. The mansard roof has slate cladding, four brick chimneys, a cornice with dentils, and four pedimented wall dormers with roundÍ²arched window openings and Classical detailing. The first storey is faced with limestone. The bank entrance, placed on the Yonge Street facade, features a pedimented stone door case and a metal transom. The stone pilasters that organize the flatÍ²headed window openings in the first floor are continued in brick through the second storey where pairs of recessed roundÍ²arched window openings have Classical detailing. The corner tower with a hip roof is a distinctive feature.",Second empire,,1886.0,1880.0,Building,0.0
2937,3112,Bank of British North America,1873,,49 Yonge Street Downtown East Toronto,43.64807,-79.37712,http://www.acotoronto.ca/show_building.php?BuildingID=3020,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/BankBritishNorthAm1.jpg,Heritage property,Commercial,Mid-rise,http://www.acotoronto.ca/,,Second empire,,1873.0,1870.0,Building,0.0
2916,3091,15-17 Tiverton Avenue,1907,,15-17 Tiverton Avenue Riverdale Toronto,43.66437,-79.34489,http://www.acotoronto.ca/show_building.php?BuildingID=9355,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/15-17TivertonAve.jpg,Riverdale Heritage Conservation District,Residential,Semi-detached house,http://www.acotoronto.ca/,"The original owner of this building was David Fasken. The original resident at 15 Tiverton Avenue was Harry Claxton, a carpenter. The first resident at 17 Tiverton Avenue was Barker Lowrey.",Second empire,,1907.0,1900.0,Building,0.0
2936,3111,William Cawthra Building,1851,,44 Yonge Street Financial District Toronto,43.6475644,-79.3774104,http://www.acotoronto.ca/show_building.php?BuildingID=2839,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/WilliamCawthraBldg.jpg,Union Station Heritage Conservation District,Commercial,Mid-rise,http://www.acotoronto.ca/,"This building now forms part of BCE Place, 181 Bay Street.",Second empire,,1851.0,1850.0,Building,0.0
2935,3110,John Hagerty Building,1851,,42 Yonge Street Financial District Toronto,43.64769,-79.37756,http://www.acotoronto.ca/show_building.php?BuildingID=2838,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/JohnHagertyBldg.jpg,Union Station Heritage Conservation District,Commercial,Mid-rise,http://www.acotoronto.ca/,"This building was altered in 1879, with the addition of its mansard roof. It now forms part of BCE Place, 181 Bay Street.",Second empire,,1851.0,1850.0,Building,0.0
2934,3109,1-5 Woodstock Place,unknown,,1-5 Woodstock Place Cabbagetown Toronto,43.66569,-79.3645,http://www.acotoronto.ca/show_building.php?BuildingID=4672,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/1-5WoodstockPl.jpg,Cabbagetown North Heritage Conservation District,Residential,Rowhouse,http://www.acotoronto.ca/,,Second empire,,,,Building,0.0
2933,3108,125 Winchester Street,unknown,,125 Winchester Street Cabbagetown Toronto,43.66649,-79.36456,http://www.acotoronto.ca/show_building.php?BuildingID=6591,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/125WinchesterSt1.jpg,Cabbagetown North Heritage Conservation District,Residential,Detached house,http://www.acotoronto.ca/,This house is set back at some distance from the street.,Second empire,,,,Building,0.0
2932,3107,James Slater House / Andrew Agnus House,1888,,67-69 Winchester Street Cabbagetown Toronto,43.66593,-79.36744,http://www.acotoronto.ca/show_building.php?BuildingID=8060,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/67-69WinchesterSt.jpg,Cabbagetown-Metcalfe Heritage Conservation District,Residential,Semi-detached house,http://www.acotoronto.ca/,No. 67 is the James Slater House; No. 69 is the Andrew Agnus House.,Second empire,,1888.0,1880.0,Building,0.0
2931,3106,17-19 Winchester Street,1878,,17-19 Winchester Street Cabbagetown Toronto,43.66535,-79.37006,http://www.acotoronto.ca/show_building.php?BuildingID=8058,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/17-19WinchesterSt2.jpg,Cabbagetown Northwest Heritage Conservation District,Residential,Semi-detached house,http://www.acotoronto.ca/,,Second empire,,1878.0,1870.0,Building,0.0
2917,3092,17A-17B Tiverton Avenue,1992,,17A-17B Tiverton Avenue Riverdale Toronto,43.66437,-79.34489,http://www.acotoronto.ca/show_building.php?BuildingID=9356,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/17ATivertonAve.jpg,Riverdale Heritage Conservation District,Residential,Semi-detached house,http://www.acotoronto.ca/,The first resident was Blossom Patterson.,Second empire,,1992.0,1990.0,Building,0.0
2914,3089,16-18 Sword Street,unknown,,16-18 Sword Street Cabbagetown Toronto,43.66399,-79.36071,http://www.acotoronto.ca/show_building.php?BuildingID=5136,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/16-18SwordSt.jpg,Cabbagetown South Heritage Conservation District,Residential,Semi-detached house,http://www.acotoronto.ca/,,Second empire,,,,Building,0.0
2915,3090,22-24 Sword Street,unknown,,22-24 Sword Street Cabbagetown Toronto,43.66411,-79.36076,http://www.acotoronto.ca/show_building.php?BuildingID=5138,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/22-24SwordSt.jpg,Cabbagetown South Heritage Conservation District,Residential,Semi-detached house,http://www.acotoronto.ca/,,Second empire,,,,Building,0.0
2898,3073,Rolex Watch Company of Canada,1951,,50 St. Clair Avenue West Deer Park Toronto,43.68782,-79.3964,http://www.acotoronto.ca/show_building.php?BuildingID=6329,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/Rolex.jpg,Heritage property,Office,Mid-rise,http://www.acotoronto.ca/,,Second empire,,1951.0,1950.0,Building,0.0
2884,3059,12-14 Sackville Place,unknown,,12-14 Sackville Place Cabbagetown Toronto,43.66618,-79.36413,http://www.acotoronto.ca/show_building.php?BuildingID=3908,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/12-14SackvillePl.jpg,Cabbagetown North Heritage Conservation District,Residential,Semi-detached house,http://www.acotoronto.ca/,,Second empire,,,,Building,0.0
2885,3060,24-26 Sackville Place,unknown,,24-26 Sackville Place Cabbagetown Toronto,43.66631,-79.36378,http://www.acotoronto.ca/show_building.php?BuildingID=3910,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/24-26SackvillePl1.jpg,Cabbagetown North Heritage Conservation District,Residential,Semi-detached house,http://www.acotoronto.ca/,,Second empire,,,,Building,0.0
2886,3061,28-32 Sackville Place,unknown,,28-32 Sackville Place Cabbagetown Toronto,43.66641,-79.36362,http://www.acotoronto.ca/show_building.php?BuildingID=3912,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/28-32SackvillePl1.jpg,Cabbagetown North Heritage Conservation District,Residential,Rowhouse,http://www.acotoronto.ca/,,Second empire,,,,Building,0.0
2887,3062,373-375 Sackville Street,unknown,,373-375 Sackville Street Cabbagetown Toronto,43.66441,-79.36446,http://www.acotoronto.ca/show_building.php?BuildingID=4927,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/373-375Sackville.jpg,Cabbagetown South Heritage Conservation District,Residential,Semi-detached house,http://www.acotoronto.ca/,,Second empire,,,,Building,0.0
2888,3063,Francis Shields House,1876,,377 Sackville Street Cabbagetown Toronto,43.66449,-79.36452,http://www.acotoronto.ca/show_building.php?BuildingID=4694,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/377Sackville1.jpg,Cabbagetown South Heritage Conservation District,Residential,Detached house,http://www.acotoronto.ca/,,Second empire,,1876.0,1870.0,Building,0.0
2889,3064,Christopher Lean House / Alfred Ingram House,1875,,397-399 Sackville Street Cabbagetown Toronto,43.66553,-79.36492,http://www.acotoronto.ca/show_building.php?BuildingID=4697,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/397-399Sackville.jpg,Cabbagetown-Metcalfe Heritage Conservation District,Residential,Semi-detached house,http://www.acotoronto.ca/,,Second empire,,1875.0,1870.0,Building,0.0
2890,3065,John O. Parker House / George Jones House,1883,,407-409 Sackville Street Cabbagetown Toronto,43.66583,-79.36509,http://www.acotoronto.ca/show_building.php?BuildingID=4695,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/407-409Sackville.jpg,Cabbagetown-Metcalfe Heritage Conservation District,Residential,Semi-detached house,http://www.acotoronto.ca/,,Second empire,,1883.0,1880.0,Building,0.0
2891,3066,72-76 Scollard Street,1889,,72-76 Scollard Street Bloor-Yorkville Toronto,43.67212,-79.39115,http://www.acotoronto.ca/show_building.php?BuildingID=2635,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/72-76Scollard.jpg,Yorkville Hazelton Heritage Conservation District,Commercial,Rowhouse,http://www.acotoronto.ca/,,Second empire,,1889.0,1880.0,Building,0.0
2892,3067,281 Sherbourne Street,unknown,,281 Sherbourne Street Downtown East Toronto,43.6745,-79.37766,http://www.acotoronto.ca/show_building.php?BuildingID=2166,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/281Sherbourne.jpg,Heritage property,Residential,Semi-detached house,http://www.acotoronto.ca/,This building is part of a group of buildings forming a social housing complex. It's municipal address is 251 Sherbourne Street.,Second empire,,,,Building,0.0
2893,3068,John Thomson and Andrew Woodcock House,,,296-298 Sherbourne Street Downtown East Toronto,43.6745,-79.37766,http://www.acotoronto.ca/show_building.php?BuildingID=2734,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/ThomsonWoodcockHouse.jpg,Heritage property,,Semi-detached house,http://www.acotoronto.ca/,This building was ripped down in 2005.,Second empire,,,,Building,0.0
2894,3069,George H. Haymes House,1873,,300 Sherbourne Street Downtown East Toronto,43.6745,-79.37766,http://www.acotoronto.ca/show_building.php?BuildingID=2735,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/GeorgeHHaymesHouse.jpg,Heritage property,Residential,Detached house,http://www.acotoronto.ca/,,Second empire,,1873.0,1870.0,Building,0.0
2895,3070,J.N. Lake House,1881,,416 Sherbourne Street Church-Wellesley Toronto,43.66502,-79.37419,http://www.acotoronto.ca/show_building.php?BuildingID=2132,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/JNLakeHouse2.jpg,Heritage property,Hotel,Semi-detached house,http://www.acotoronto.ca/,,Second empire,,1881.0,1880.0,Building,0.0
2896,3071,James Cooper House,1880,,582 Sherbourne Street Bloor-Yorkville Toronto,43.67091,-79.37665,http://www.acotoronto.ca/show_building.php?BuildingID=2217,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/KnightsColumbus1388.jpg,Heritage property,Clubhouse,Detached house,http://www.acotoronto.ca/,"This house was originally built for James Cooper, who was one of the owners of a company that manufactured shoes and boots, called Sessions, Carpenter and Company. Later, the building was occupied by the Keeley Institute for Nervous Diseases. In 1910, the property was acquired by the Knights of Columbus Toronto Council. They added an assembly hall to the building in 1911. The building was purchased by a developer, and was moved twice in 2008-2009 to accommodate a condominium on the site. The rear additions built by the Knights of Columbus were demolished.",Second empire,,1880.0,1880.0,Building,0.0
2897,3072,122-136 Shuter Street,1877,,122-136 Shuter Street Downtown East Toronto,43.628719329834,-79.4128265380859,http://www.acotoronto.ca/show_building.php?BuildingID=2728,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/122-136ShuterSt1.jpg,Heritage property,Residential,Rowhouse,http://www.acotoronto.ca/,,Second empire,,1877.0,1870.0,Building,0.0
2899,3074,6-14 St. Joseph Street,1879,,6-14 St. Joseph Street Downtown Toronto,43.66603,-79.38589,http://www.acotoronto.ca/show_building.php?BuildingID=2593,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/6-14StJoseph.jpg,Historic Yonge Street Heritage Conservation District,Residential,Rowhouse,http://www.acotoronto.ca/,"This property is an excellent example of the Second Empire style, constructed at the peak of this styleÂ´s popularity in Toronto. It is 2-1/2 storeys in height, clad in red brick with dichromatic stone masonry of tapered lintels above window and door openings. The mansard roof has an ornate eaves, below which is a decorated frieze of moulded brick with regularly spaced medallions, and carved brackets. It is part of a row of five buildings.",Second empire,,1879.0,1870.0,Building,0.0
2946,3121,576 Yonge Street,1876,,576 Yonge Street Downtown Toronto,43.66509,-79.38479,http://www.acotoronto.ca/show_building.php?BuildingID=2510,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/576Yonge.jpg,Historic Yonge Street Heritage Conservation District,Commercial,Low-rise,http://www.acotoronto.ca/,"This building is one of three remnants of what used to be a continuous block at 570-584 Yonge. This is a 2.5 storey building designed in a Second Empire style. It is part of a row of similarly designed units. It has a mansard roof, and originally would have had bell cast dormers. It is clad in brick withpoly-chromatic brickwork that has been painted over. The roof has projecting eaves, under which is a simple cornice moulding, brackets and fascia of redbrick and buff brick panels between brackets. Window opening have segmented arched heads with limestone keystone.",Second empire,,1876.0,1870.0,Building,0.0
2900,3075,159 Stanley Avenue,1875,,159 Stanley Avenue Mimico Etobicoke,43.6146,-79.49564,http://www.acotoronto.ca/show_building.php?BuildingID=9039,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/159StanleyAve.jpg,Heritage property,Residential,Detached house,http://www.acotoronto.ca/,This house is dated ca. 1870Â´s.,Second empire,,1875.0,1870.0,Building,0.0
2901,3076,53-63 Sullivan Street,1880,,53-63 Sullivan Street Grange Park Toronto,43.65105,-79.39568,http://www.acotoronto.ca/show_building.php?BuildingID=2945,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/53-63Sullivan1.jpg,Heritage property,Residential,Rowhouse,http://www.acotoronto.ca/,"The heritage inventory has only 63 Sullivan listed, but 53-63 is clearly a single building.",Second empire,,1880.0,1880.0,Building,0.0
2902,3077,65-71 Sullivan Street,1880,,65-71 Sullivan Street Grange Park Toronto,43.65094,-79.39588,http://www.acotoronto.ca/show_building.php?BuildingID=6657,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/65-73SullivanSt1.jpg,Heritage property,Residential,Rowhouse,http://www.acotoronto.ca/,"The Inventory of Heritage Properties has properties at 65,67 and 69 as heritage, these are a single row that also includes 71.",Second empire,,1880.0,1880.0,Building,0.0
2903,3078,73-83 Sullivan Street,1880,,73-83 Sullivan Street Grange Park Toronto,43.65092,-79.39628,http://www.acotoronto.ca/show_building.php?BuildingID=2946,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/73-83Sullivan1.jpg,Heritage property,Residential,Rowhouse,http://www.acotoronto.ca/,"The heritage inventory has only 73 listed, but 73-83 are clearly a single building.",Second empire,,1880.0,1880.0,Building,0.0
