,Address:,Architects:,Building completed,Demolished,Name of Building:,Notes:,Type of Building:
31,55 King Street West,,1913,1966,Toronto Dominion Bank,,Banks
32,885 Lawrence Avenue East,Parkin John B.,1957,,Bank of Nova Scotia,"Planned colaboratively with the Bank of Montreal at 887 Lawrence Avenue East (1957, John B. Parkin Associates).",Banks
33,887 Lawrence Avenue East,Parkin John B.,1957,,Bank of Montreal,,Banks
34,744 Queen Street East,Darling & Pearson (firm),1906,,Canadian Bank of Commerce,,Banks
35,1958 Queen Street East,"Blackwell, Blackwell & Craig (firm)",1950,,Bank of Toronto,,Banks
36,2046 Queen Street East,,,,Metropolitan Bank,,Banks
37,2169 Queen Street East,Lyle John,1911,,Toronto Dominion Bank,"Formerly the Dominion Bank.  It became a Toronto Dominion Bank branch in 1955, when the Bank of Toronto and the Dominion Bank amalgamated.",Banks
38,378 Queen Street West,Gouinlock George,1902-03,,Canadian Imperial Bank of Commerce,,Banks
39,588 Queen Street West,"Darling & Pearson (firm)
Levitt Goodman Architects (firm)",,,Bank of Commerce,"Now known as ""Meeting Place"" and converted to a community centre for homeless people.",Banks
40,0 Richmond Street West,,1930s?,1987,Premiere Trust Company,,Banks
41,0 St. Clair Avenue West,Scolozzi Francesco,,,Banca Commerciale Italiana,,Banks
42,0 St. Clair Avenue West,Sharpe & Horner (firm),,,Bank of Nova Scotia,,Banks
43,181 University Avenue,Webb Zerafa Menkes Housden (firm),,,ING Tower,,Banks
44,250 University Avenue,Marani & Morris (firm),1958,,Bank of Canada,Interior mural painted by Allan Collier.,Banks
45,58 Wellesley Street East,,,,Bank of Montreal,,Banks
46,24 Wellington Street East,"Irving William
Sheard Joseph",,1950-1951,Ontario Bank,,Banks
47,58 Wellington Street East,Kauffman William,1862-1863,1961,Bank of Toronto,,Banks
48,60 Wellington Street East,Etherington A. Bruce,,,Toronto Dominion Bank,,Banks
49,13 Wellington Street West,Thomas William,1844,,Commercial Bank of the Midland,"Occupied no. 13-15 Wellington Street West. Commercial Bank of the Midland District.  Occupied by the accounting firm of Clarkson  Gordon from 1913 to 1969.  The facade has been kept intact in the atrium of the BCE Place's ""Heritage Square"" (see also 181 Bay Street).",Banks
50,27 Wellington Street West,,1860,,Royal Canadian Bank,,Banks
51,30 Yonge Street,Darling & Curry (firm),1885-1886,,Bank of Montreal,Now the Hockey Hall of Fame.,Banks
52,49 Yonge Street,"Burke & Horwood (firm)
Langley Henry",1873-1874,,Bank of British North America,Changed to the Canadian Imperial Bank of Commerce.,Banks
53,61 Yonge Street,"Baker Francis
Carrere & Hastings (firm)",1905,,Traders Bank of Canada,,Banks
54,171 Yonge Street,Darling & Pearson (firm),1910/1914,1985,Imperial Bank of Commerce,Initially known as the Imperial Bank of Canada.  Dates of construction vary in some sources -- 1910 or 1914.,Banks
55,173 Yonge Street,Darling & Pearson (firm),1909-1910,,Bank of Montreal,"Part of the facade of this building will be incorporated into the Maritime Life Tower, scheduled for completion in 2002.  SEE: 2 Queen Street East.",Banks
56,199 Yonge Street,Darling & Pearson (firm),1905,,Canadian Bank of Commerce,SEE ALSO:  Canadian Imperial Bank of Commerce.,Banks
57,205 Yonge Street,"Diamond A.J. Donald Schmitt
Lennox Edward",,,Bank of Toronto,"Was later called the Toronto Dominion Bank.  Became the offices of the Toronto Historical Society, now known as Heritage Toronto.",Banks
58,380 Yonge Street,Lyle John,1929-1930,,Toronto Dominion Bank,,Banks
59,496 Yonge Street,,1886-1887,,Bank of Montreal,Originally a 2-unit commercial block.  Remodelled as a  bank in 1928. Now a 7-11 store.,Banks
60,737 Yonge Street,Baker Francis,c1907,,Traders Bank of Canada,Yonge and Bloor Street Branch.,Banks
61,2346 Yonge Street,Jacobs Julian,,,Royal Bank,,Banks
62,0 Logan Avenue,,c1903,c1930,Kew Beach Club,"Probably was demolished around 1930, when other structures were removed to make way for the development of the Eastern Beaches Park.",Boat Houses
63,354 Bay Street,,,,Lichtman's News & Books,,Book Stores
64,9 King Street East,Cumberland & Storm (firm),1853,,Wesleyan Methodist Bookst,,Book Stores
65,765 Yonge Street,,,,Britnell's Book Store,,Book Stores
66,2 Atlantic Avenue,,,,Upper Canada Breweries,,Breweries
67,255 Bremner Boulevard,"Armstrong Molesworth & Shepherd
William Hurst Architects (firm)",1929-1931,,Steam Whistle Brewery,SEE ALSO:  John Street Roundhouse on Bremner Boulevard (no street number),Breweries
68,0 Fleet Street,Beinhaker Phil,,,Molson Plant,,Breweries
69,406 Queen Street East,,1879-1880,,Dominion Brewery,"Established by Robert Davies, who learned the trade at his father's brewing business in Davisville on Yonge Street.  Address varies.  (in 1932, street address was 469-498 Queen Street East)  SEE ALSO:  Brewery Lofts at no. 90 Sumach Street.",Breweries
70,0 Belt Line (Ravine),,1924,,Governor's Bridge,,Bridges
71,0 Bloor Street East,,,,Governor's Bridge,,Bridges
72,0 Bloor Street East,Parkin John B.,,,Rosedale Valley Bridge,,Bridges
73,0 Cherry Street,,,,Cherry Street (lift) Bridge,,Bridges
74,0 Crawford Street,,,,,,Bridges
75,0 Don Valley Parkway,,2001,,Don Valley Bicycle Bridge,,Bridges
76,0 Gerrard Street East,,Dec 1923,,Gerrard Street Bridge,,Bridges
77,0 Harbord Street,,,,,,Bridges
78,0 Harbourfront,Montgomery & Sisam Archts (firm),1996,,Humber Pedestrian Cycle Brg,Links two path systems -- the Toronto Waterfront path and the Humber River system in Etobicoke.,Bridges
79,0 Huntley Street,,,,Huntley Street Bridge,,Bridges
80,0 John Street,Montgomery & Sisam Archts (firm),c1990,,John St. Pedestrian Bridge,Connects Skydome to Harbourfront.,Bridges
81,0 Mimico Creek,Calatrava Santiago,1998,,Mimico Creek bridge,,Bridges
82,0 Mount Pleasant Road,Wickson & Gregg (firm),,,Mount Pleasant Cemetery Bdg,,Bridges
83,0 Queen Street East,,c1911,,Queen Street Bridge,,Bridges
84,0 St. Clair Avenue East,,1924,,St. Clair Avenue Bridge,"""The St. Clair Avenue Bridge connects Deer park and Moore park, the neighbourhood to the east.  It spans the section of the Rosedale Ravine, 90 feet below, known by the romantic name of vale of Avoca.  The Bridge is approximately 500 feet long.",Bridges
85,0 Wallace Avenue,,1907,,Wallace Avenue Footbridge,Built in1907 as the first (recorded) project of the Ontario Bridge Company (active 1907 to 1958).,Bridges
86,0 Weston Road,,,,Weston Road Bridge,,Bridges
87,250 Front Street West,"Bregman + Hamann Architects
Burgee John
Johnson Phillip
Myers Barton",c1992,,CBC Broadcast Centre,,Broadcasting Stations
88,100 Huntley Street,,1955,1997,,,Broadcasting Stations
89,299 Queen Street West,Burke Horwood & White (firm),1913,,Wesley Building,Originally the Wesley Building and built for the Methodist Book and Publishing Company (later the Ryerson Press).   Original street number was no. 295.   Renamed the Ryerson press Building.  Now known as the ChumCity Building.,Broadcasting Stations
90,0 Bay Street,Du Tois Allsopp Hillier (firm),,,Union Station Go Bus Terminal,,Bus Terminals
91,469 Broadview Avenue,,c1807,,John Cox House,,Cabins
92,0 Exhibition Place,,1794,,Scadding Cabin,,Cabins
93,0 Exhibition Place,Parker Larry,,,,,Cabins
94,4700 Keele Street,Teeple Stephen,,,York University Honour Court,Replaces the Information Kiosk.,Campuses
95,4700 Keele Street,,,,York University Campus,,Campuses
96,1265 Military Road,"Andrews John
Page & Steele (firm)",1965,,Scarborough College (U. of T.),,Campuses
97,0 University of Toronto,Taylor Edwin,,,University of Toronto Campus,,Campuses
98,0 Fifth Line Road,,,,Elm Bank Cemetery,,Cemeteries
99,426 Jones Avenue,,,,Goel Tzedec Cemetery,,Cemeteries
100,0 Mount Pleasant Cemetery,,,,Mount Pleasant Cemetery,,Cemeteries
101,635 Parliament Street,"Darling & Pearson (firm)
Howard John",,,St. James Cemetery,"Grounds laid out (designed) by John G. Howard, 1844.  Iron fence and stone pillars designed by Darling and Pearson, 1905.",Cemeteries
102,1450 St. Clair Avenue West,Baird Sampson Neuert Architects Inc.,,,Prospect Cemetery + Mausoleum,,Cemeteries
103,0 Wellington Street West,,,,Old Garrison Burying Ground,SEE:  Victoria Square Park,Cemeteries
104,200 Winchester Street,,185?,,Necropolis,SEE ALSO:  Toronto Necropolis Chapel (same address).,Cemeteries
105,0 Yonge Street,,,,Potter's Field,Cenetery at the north-west corner of Yonge and Bloor Streets active from 1826-1855.,Cemeteries
106,0 Kingston Road,Morton J.Gibb,,,St. John's Cemetery Chapel,,Chapels
107,97 St. George Street,Brydon A. Mackenzie,,,Canadian School of Missions,,Chapels
108,46 Adelaide Street East,Thomas William,1855-1856,,Zion Church,Commissioned to replace the original structure that had been destroyed by fire in 1855.,Churches
109,97 Annette Street,Ellis James A.,1891,,Keele Street Church of Christ,,Churches
110,1111 Arrow Road,,c2001,,Prayer Palace,,Churches
111,121 Avenue Road,Smith & Gemmell (firm),c1877,1995-fire,St. Paul's Avenue Rd U  Church,originally St. Paul's methodist Church.  Ceiling painted c1890s by Gustav Hahn.  Destroyed by fire April 1995.,Churches
112,240 Avenue Road,Sankey Partnership (firm),,,Church of the Messiah,,Churches
113,0 Bay Street,Thomas William,,1886,United Presbyterian Church,"May also be known as ""Jenning's Church"".",Churches
114,2 Bellefair Avenue,,c1915-1922,,Bellefair United Church,"First church building was located slightly north of the present one.  It was built in 1906 and demolished in the 1950s to make room for Kerley Hall, a Christian education building.",Churches
115,103 Bellevue Avenue,"Fuller Thomas
Gundry & Langley (firm)
Windeyer Richard C.",1858,,St. Stephen's-In-the-Fields,Built 1858 by Thomas Fuller.  Rebuilt 1865 by Gundry & Langley.  Addition  in 1872 by R.C. Wintermeyer.  Renovated 1985-86.,Churches
116,72 Beverley Street,Langley & Burke (firm),1886-87,,Beverley Street Baptist Church,72-79 Beverely St.    Now known as the Chinese Baptist Church.,Churches
117,227 Bloor Street East,Lennox Edward,1909-1913,,St. Paul's Anglican Church (2),,Churches
118,227 Bloor Street East,"Gordon & Helliwell (firm)
Helliwell Grant
Lennox Edward
Radford Edward",1858-1860,,St. Paul's Anglican Church (1),"Also known as ""Old St. Paul's"".  This 1860s church currently serves as the administrative quarters to the second St. Paul's Angligan Church, built by E.J. Lennox 1910-1913",Churches
119,227 Bloor Street East,"Lennox Edward
Miller George
Radford Edward",1861,,Maurice Cody hall,"SEE:  St. Paul's Anglican Church #1 (""Old St. Paul's"") -- same address.",Churches
120,0 Bloor Street West,Lennox Edward,1882,?,Bloor Street Baptist Church,,Churches
121,162 Bloor Street West,Smith & Gemmell (firm),1879,,Church of the Redeemer,,Churches
122,427 Bloor Street West,Langley & Burke (firm),1887-1889,,Trinty-St. Paul's United Ch.,,Churches
123,2305 Bloor Street West,,1954,,St. Pius X,,Churches
124,50 Blythwood Road,Hoare John,,,Blythwood Baptist Church,,Churches
125,57 Bond Street,,,,St. Michael's Cathedral,SEE:  200 Church Street.,Churches
126,60 Bowden Avenue,,c1914,,Danforth Baptist Church,,Churches
127,0 Caledonia Road,,,,Prospect Park United Church,,Churches
128,0 Carlton Street,Storm William,1874,yes,Carlton Street Methodist Church,,Churches
129,188 Carlton Street,"Gordon & Helliwell (firm)
Langley & Gundry (firm)",1864-1866,,St. Peter's Anglican Church,Addition built 1890 by Gordon & Helliwell.,Churches
130,32 Cecil Street,Knox & Elliot (firm),1891,,Church for Disciples of Christ,Later became the Cecil Community Centre.,Churches
131,25 Charles Street East,,,,Centre Gospel Hall,,Churches
132,65 Church Street,"Cumberland & Ridout (firm)
Langley Henry
Sproatt & Rolph (firm)
Storm William",1853,,St. James Cathedral no.4,"Present church is the FOURTH church (all names for St. James) to stand on the site.  The first Church existed from 1807 to 1833.  The second church (by Thomas Rogers) burnt down in 1839. The third St. James (designed by architect Thomas Young) burnt down on April 7, 1849.  Plans for another church were made shortly thereafter.  William Storm and Henry Langley designed the tower, spire and pinnacles that were added 1867-1874.  Sir Casimir Gzowski designed the brick and sandstone wall with cast-iron ornament, lamps and entrance gates.  Most of these were torn down in 1960.",Churches
133,65 Church Street,,1807,1833,St. James Cathedral no.1,SEE notes for St. James Cathedral no.4,Churches
134,65 Church Street,Rogers Thomas,1833,1839-Fire,St. James Cathedral no.2,See notes for St. James Cathedral no.4.  Sometimes architect Jame Chewitt (who acted in Roger's absence) has been mistakingly attributed as the architect.,Churches
135,65 Church Street,Young Thomas,1839,1849-Fire,St. James Cathedral no.3,See notes for St. James Cathedral no.4.,Churches
136,200 Church Street,"Connolly Joseph
Gundry & Langley (firm)
Thomas William",1845-1848,,St. Michael's Cathedral,"Also listed as no.57 Bond Street.  Initial Cathedral built by William Thomas, 1845-1848;  tower and spire additions by Gundry & Langley, 1865-1867;  dormer addions by Joseph Connolly, 1890.",Churches
137,0 College Street,Lennox Edward,,c1928-1930,Broadway Tabernacle,,Churches
138,452 College Street,"Secord H.
Smith & Gemmell (firm)",1884-1885,,College St. United Church,"Previously called College Street Presbyterian Church.  Most of the old church was demolished in 1986, and an 89-unit condominium was built around it in 1988-89.  SEE ALSO: 456 College Condominium.",Churches
139,506 College Street,Langley & Burke (firm),1888,,College Street Baptist Church,Now called the Portuguese Seventh-Day Adventist Church.,Churches
140,33 Connie Street,Maragna Architects Inc. (firm),,,St. Fidelis Church,,Churches
141,361 Danforth Avenue,Sharp Andrew,1910,,St. Barnabus Anglican Church,,Churches
142,606 Danforth Avenue,,,,Church of the Holy Name,SEE:  Holy Name Church at #71 Gough Avenue.,Churches
143,10 Davenport Road,Carson Woods Architects (firm),,,Sstone Church,,Churches
144,26 De Lisle Avenue,Wickson & Gregg (firm),1926,,Calvin Presbyterian Church,,Churches
145,2339 Dufferin Street,Johnson Phillip,1954,,St. Hilda's Church,,Churches
146,0 Dummer Street,Gundry & Langley (firm),,,St. Patrick's Church,"SEE:  Our Lady of Mount Carmel, no. 202 St. Patrick Street.",Churches
147,0 Dundas Street East,"Lennox Edward
McCaw & Lennox (firm)",1878-1879,1981-fire,Bond St. Congregational Church,"Later known as the ""Evangel Temple"".",Churches
148,509 Dundas Street East,,,,St. Bartholemew's Church,,Churches
149,1680 Dundas Street West,Holmes A.W.,c1909,,St. Helen's Catholic Church,1st St. Helen's opened in 1875 on Lansdowne Ave.  Parish moved to its current home in 1909.,Churches
150,3001 Dundas Street West,,,,Plymouth Brethren Gospel Hall,,Churches
151,1 Earl Street,"Hynes James
Law Frederick",1886,,Our Lady of Lourdes,"Roman Catholic Church.  Address is also listed, in more recent sources, as no.520 Sherbourne Street.",Churches
152,0 Eglinton Avenue West,Habash Nasry,,,Canadian Coptic Centre,,Churches
153,1650 Finch Avenue East,Seymour Alan,1873,,Zion Primitive Methodist Church,,Churches
154,135 First Avenue,Strickland & Symonds (firm),1890,,St. Matthew's and  St. John's,,Churches
155,43 Forest Grove Drive,"Boyce Max
Page & Steele (firm)",1960,,Forest Grove United Church,,Churches
156,130 Gerrard Street East,Langley Langley & Burke (firm),1874-1875,,Jarvis Street Baptist Church,,Churches
157,709 Gerrard Street East,Holmes A.W.,1912-14,,St. Ann's Church,,Churches
158,270 Gladstone Avenue,Howland W. Ford,,,St. Anne's Anglican Church,"Reputedly the only ""pure"" Byzantine church in Canada.  Replaced an earlier church constructed in 1862.   The current interior was decorated by members of the Group of Seven, c1923  and supervised by J.E. H. MacDonald",Churches
159,66 Gough Avenue,,,,Ste. Irene's Church,"Greek Orthadox Church of Ste. Irene Chrisovalantou.  Established in 1975, the church building was originally an automobile repair shop.",Churches
160,71 Gough Avenue,Holmes A.W.,,,Holy Name Church,,Churches
161,0 Gould Street,Hay William,1855,,Gould St. United Presb. Church,Gould Street United Prebyterian Church.  Later called the Catholic Apostolic Church.  Now demolished.,Churches
162,0 High Park Avenue,,,,Annette Street Baptist Church,,Churches
163,70 High Park Avenue,,1929,,Third Church of Christ Scientist,,Churches
164,6 Hoskin Avenue,"George & Moorehouse (firm)
Scott Sir Giles",,,Trinity College Chapel,,Churches
165,0 Howard Street,Smith Eden,,,St. Simon's Anglican Church,,Churches
166,0 Howland Avenue,Windeyer Richard C.,never,,St. Alban's Cathedral,Only the chancel was ever completed.  It now serves as the chapel of the Royal St. George's College (no.120 Howlnad Avenue),Churches
167,383 Huron Street,Smith Eden,c1893,,St. Thomas's  Church,,Churches
168,7056 Islington Avenue,,1853,,Humber Summit Community,,Churches
169,0 Jarvis Street,Thomas David,,,Unitarian Church,,Churches
170,383 Jarvis Street,Langley Langley & Burke (firm),1878,,St. Andrew's,,Churches
171,197 John Street,Robinson Gerald,,,St. George's Close,,Churches
172,203 John Street,Lane Henry,,,St. George the Martyr,,Churches
173,109 Kenilworth Avenue,"Brown J. Francis
Hunt W.G.",1895,,Kenilworth Avenue Baptist Church,The Beach Hebrew Institute has occupied this building since 1920.,Churches
174,106 King Street East,,,,Cathedral Church of St. James,SEE:  St. James'  Cathedral.,Churches
175,425 King Street East,"Lane Henry
Wilkes F. Hilton",1843,,Little Trinity Church,,Churches
176,456 King Street East,Burke Horwood & White (firm),1902,,Riverside Church,Frame church originally located on Bay Street and moved to its present location.  Burke Horwood & White responsible for the front addition.,Churches
177,189 King Street West,Storm William,1875,,St. Andrew's Presbyterian Ch.,,Churches
178,1359 King Street West,Burke Edmund,1889,,Parkdale Methodist Church,Demolished in 1975,Churches
179,1372 King Street West,Holmes A.W.,c1905,,Holy Family Church,Destroyed by fire June 1997.,Churches
180,85 Kingsway (The),,,,Kingsway Lambton United Church,,Churches
181,0 Leslie Street,,1873,,Oriole Church,"Final Service May 12, 1957",Churches
182,300 Lonsdale Road,Smith Eden,1924,,Grace Church,,Churches
183,477 Manning Avenue,"Darling Frank
Rae William",1908,,St. Mary Magdalene,Former address was no. 136 Ulser Street.,Churches
184,190 Medland Street,Moffat Walter,1898,,Victoria-Royce Presbyterian,,Churches
185,2950 Midland Avenue,Kearns Mancini Architects (firm),c1992,,Our Lady of the Holy Rosary,Also called:  Nossa Senhora Do Rosario Church.,Churches
186,0 Oak Street,,1890s?,1950s,Oak Street United Church,demolished to make way for Regent Park (although Regent Park United Church was built in 1954 on the sitr of the Oak Street).,Churches
187,494 Ontario Street,,1905,,Christian Association Church,Later known as the Backdoor Theatre.,Churches
188,0 Pacific Avenue,Post A.A.,1909,,St. Cecilia's Roman Catholic Church,,Churches
189,662 Pape Avenue,,1912,,Riverdale Presbyterian Church,"Converted to the ""Glebe"",  a 32-unit condominium c2001",Churches
190,13 Park Road,Brown J. Francis,,,Park Road Baptist Church,,Churches
191,0 Parliament Street,Knox Elliot & Jarvis (firm),1889,,South Side Presbyterian Church,,Churches
192,0 Parliament Street,,c1888,1931,St. Augustine Anglican Church,,Churches
193,635 Parliament Street,Cumberland & Storm (firm),1857-1861,,St. James-the-Less Chapel,,Churches
194,93 Power Street,Connolly Joseph,,,St. Paul's Roman Catholic Ch.,,Churches
195,56 Queen Street East,"Langley Henry
Morton J.Gibb",1872,1928-fire,Metropolitan United Church,"Initially known as the Metropolitan Wesleyan Methodist Church.  (Name of church on original architectural drawings is the McGill Square Church).  Gutted by fire Jan.30, 1928.  Rebuilt by J. Gibb Morton in 1928-1929, preserving the front wall and much of the tower.",Churches
196,88 Queen Street East,Thomas William,1858,,Cooke's Church,,Churches
197,0 Queen Street West,Thomas William,1847,,Knox's Presbyterian Church,,Churches
198,88 Queen Street West,Simpson Henry,1891,,Cooke's Presbyterian Church,,Churches
199,321 Queen Street West,Cumberland & Storm (firm),1856-1857,,Wesleyan Church,,Churches
200,0 Reid Avenue (no longer?),,,,Reid Avenue Baptist Church,,Churches
201,0 Richmond Street East,Woodsworth Richard,1844,1888,Richmont St. Methodist Church,,Churches
202,0 Roncesvalles Avenue,"George, Moorehouse & King (firm)",late 1920s,,Erskine United Church,,Churches
203,437 Roncesvalles Avenue,Somerville William Lyon,c1899,,St. Judes Anglican Church,Converted to condominiums in 2002.  SEE:  High Park Lofts at no.433 Roncesvalles.,Churches
204,460 Shaw Street,,c1924,1998 - fire,Christ Churst St. James BME,Christ Churct St. James British Methodist Episcopal Church,Churches
205,65 Sheldrake Avenue,,,,St. George United Church,SEE:  Eglinton United Church,Churches
206,65 Sheldrake Avenue,Horwood & White (firm),1923,,Eglinton United Church,Also known as St. George United Church. SEE ALSO:  #39 Sheldrake Boulevard (alternative address).  SEE ALSO: under Building Name: St George on Sheldrake (church being converted into a 33-unit luxury condo building).,Churches
207,39 Sheldrake Boulevard,Horwood & White (firm),1920s,,Eglinton United Church,SEE ALSO:  St. George on Sheldrake -- a condominium project that converts the church into 33 suites on three floors.,Churches
208,223 Sherbourne Street,Windeyer Richard C.,1874,,All Saints Anglican Church,,Churches
209,353 Sherbourne Street,Langley & Burke (firm),1886-1887,,St. Luke's United Church,Originally the Sherbourne Street Methodist Church.,Churches
210,0 Simcoe Street,"Lennox Edward
McCaw & Lennox (firm)",1878,,Erskine Presbyterian Church,,Churches
211,136 Sorauren Avenue,,,,Annunciation of the Virgin Mary,Greek Orthodox Cathedral.  Partially destroyed by fire April 2000.,Churches
212,175 St. Clair Avenue West,Brown Beck & Ross Architects,,,First Unitarian Congregation,,Churches
213,230 St. Clair Avenue West,Wickson & Gregg (firm),,,Timothy Eaton Memorial Church,,Churches
214,354 St. Clair Avenue West,Holmes A.W.,1926,,Holy Rosary Catholic Church,,Churches
215,0 St. John's Road,,1881,,St. John's Anglican Church no1,"Replaced by a Second Church in 1889, and was then used as a parish hall until 1911.",Churches
216,0 St. John's Road,,1889,1923,St. John's Anglican Church no2,SEE ALSO:  St. John's anglican Church no.1.,Churches
217,50 St. Joseph Street,Hay William,1855,,St. Basil's Church,,Churches
218,202 St. Patrick Street,Gundry & Langley (firm),1869-1870,,Our Lady of Mount Carmel,Initially known as St. Patrick's Dummer Street.,Churches
219,202 St. Patrick Street,,,,St. Patrick's Church,SEE:  Our Lady of Mount Carmel,Churches
220,0 Stewart Street,,1858,c1893,St. John the Evangelist no.1,St. John the Evangelis (Garrison) Church.  The 1853 wood structure was replaced by a brick church designed by Eden Smith.  SEE: St. John the Evangelist no.2.,Churches
221,0 Stewart Street,Smith Eden,1893,1950s,St. John the Evangelist no.2,,Churches
222,148 Tecumseth Street,Burke & Horwood (firm),1896-1897,,Memorial Baptist Church,,Churches
223,0 Toronto Island(s),Denison Arthur,c1884,,St. Andrew's-by-the-Lake,,Churches
224,0 University Avenue,Simpson Henry,1893,1910,Bethany Chapel,,Churches
225,188 Walmer Road,Langley & Burke (firm),1888,,Walmer Road Baptist Church,,Churches
226,80 Winchester Street,"Gordon & Helliwell (firm)
Molesworth West & Secord (firm)",1891,,St. Enoch's Presbyterian Ch.,"Became St. Enoch's United Church in c1939.   became the Don Valley Community Centre in the 1960s.  Purchased by the Toronto Dance Thetare in 1978, which renovated the building into three large dance studios.",Churches
227,0 Yonge Street,Smith & Gemmell (firm),1870,c1910,Christ Church,"Located in the suburban village of Deer Park,  located along Yonge Street, north of Yorkville.",Churches
228,0 Bay Street,,,,Bay Street,,City Blocks
229,0 Bellevue Avenue,,,,Bellevue Avenue,,City Blocks
230,0 Bond Street,,,,Bond Street,,City Blocks
231,0 Dundas Street East,Brown and Storey Archts. (firm),,,Dundas Square,,City Blocks
232,87 King Street East,Howard John,1842,,Victoria Row,A row of shops occupying nos. 87-97 King Street East.Only no. 87 is still extant.,City Blocks
233,150 King Street East,,c1833,,,"Multi-unit commercial block.  Sometime referred to as the Burke-Murchison Block.  Originally built as shops with residential flats and offices above.  Dates vary in some sources.  Nos. 150-154 were built after the Great Fire of 1849, since they observe a resultant  construction safety bylaw.",City Blocks
234,0 King Street West,,,,,"Streetscape, 1880",City Blocks
235,639 Queen Street East,,1889-1890,,Smith's Block,8-unit commercial block developed by John smith occupied nos.639-655 Queen Street East.,City Blocks
236,318 Queen Street West,,"1882,1884",,,Nos. 318-320 built in 1882.  Nos. 322-324 built in 1884-1885.,City Blocks
237,495 Queen Street West,,1889-1890,,,Originally a 7-unit commercial block occupying nos. 495-505 Queen Street West.  First owned by the Land Security Co.,City Blocks
238,1142 Queen Street West,,1881-1882,,,4-unit commercial block originally developed by Philip Peppiatt.,City Blocks
