,Description,Name,Notes,Street,URL
10,Pioneer Ecologist,Charles Sauriol  1904 - 1995,"The plaque was situated at the east end of Carlton Street, near to the top of the stairs going down the park. It was recently damaged and will be replaced in the near future.Charles Sauriol was born in Toronto, Ontario, and was the youngest of seven children. In 1882, his father had moved to Toronto to work as an engineer on the dredging of the Don River.Once in Toronto, the Sauriols lived on Gerrard Street where it intersects with Sumach Street. Charles went to Sacré-Coeur School. As a young boy he camped out in the Don Valley with the 45th East Toronto Troop of the Boy Scouts. It was at this time that he fell in love with the Don Valley, which at the time was woods, some farms, and in its natural state.In 1927, Charles Sauriol purchased his own piece of the Don – a piece of railway land on 40 hectares at the forks of the river. He used it as a cottage. For years he spent his summers there with his family. Only four trees stood on site in 1927. Sauriol began an ambitious project of reforestation, planting shrubs, native hard woods and conifers on the slope surrounding the cottage.As ancestors of his had emigrated to New France from Brittany in 1705, Charles was 8th generation Canadian, and completely bilingual. He spent 30 years working as a marketing director for French publishing houses like Porier Bessette in Montreal. He penned and published a Weekly dedicated to stories of the Don Valley, called Le Samedi.In 1949, Charles Sauriol co-founded the Don Valley Conservation Association. The mission was to preserve the Don Valley as a natural forest. Sauriol organized trips by steam locomotive to raise money. These trips began at the Don River station near Queen Street and attracted up to a thousand passengers, who traveled to such places as Cobourg, Lindsay, and Niagara Falls.In 1954, he joined forces with the Don Valley Conservation Authority. It became the Metro Toronto and Region Conservation Authority in 1957. During the 1950s, the MTCA purchased most of the valleys and ravines that today make up Toronto’s green belt. Much of this was a direct consequence of Hurricane Hazel in 1954. Widespread damage gave new urgency to flood control measures, the MTCA wanted to remove houses from risky floodplain areas.In 1958 plans for the Don Valley Parkway bisected the Sauriol cottage property and they were forced to vacate their beloved cottage. It was demolished the same year.Soon after, in 1966, Charles Sauriol helped establish the Nature Conservancy of Canada. During this period he was its primary fundraiser. He helped the Conservancy acquire parkland across Canada. In Ontario alone, he purchased 500 properties. Over the course of his career, he led fundraising campaigns that netted more than 200 million dollars dedicated to the preservation of green space.Charles Sauriol’s work as an ecologist was well recognized. He was known as “Mr. Conservation.” And in 1989 he received the Order of Canada. He earned 40 other awards and citations. Today four green spaces, a park and a Conservation Areas carry his name.He died of natural causes in 1995 at the age of 91. He truly lived in harmony with nature.“As years go on and the population increases, there will be a need of these lands and more, and in life where so much appears futile, this one thing will remain. In essence, those who continue to support the work of conservation can say, I have lived here, I have done something positive to ensure that its natural beauty and natural values continue.”A Toronto French school and a conservation reserve trail are named after him.Hear him talk:Charles Sauriol in front of the original cottage at the Forks, July 1935. City of Toronto Archives, Series 80, File 8.","Riverdale Park, Winchester Street, Toronto, ON M5A, Canada",http://www.cabbagetownpeople.ca/person/charles-sauriol/
11,"Mohawk Physician, Victorian Businessman and Philanthropist","Oronhyatekha, M.D.  1841 - 1907","Dr. Oronhyatekha was a remarkable Canadian who was successful as a Mohawk physician, scholar, and Victorian businessman.Born on the Six Nations Reserve near Brantford, Ontario, Oronhyatekha (means “Burning Sky”) was also known by his baptized name of Peter Martin. He attended colleges in Massachusetts and Ohio, before returning to teach at Tyendinaga on the Bay of Quinte.In 1860, Oronhyatekha, on behalf of the Six Nations, gave the welcoming address to the Edward, the Prince of Wales (future Edward VII). He so impressed the Royal Party that he was invited to study in England, resulting in his becoming the first North American of indigenous descent to attend Oxford University. Oronhyatekha’s portrait still hangs in St. Edmunds Hall at Oxford.In 1863 he returned to Canada and married a great-granddaughter of Joseph Brant (Thayendanegea), the great Mohawk chief and Loyalist military leader during the American War of Independence. While attending the University of Toronto, Oronhyatekha joined its militia corps, as well as the Queen’s Own Rifles; he also joined the Masonic order. In 1866 he graduated from the University of Toronto’s medical school, and was likely the first native medical doctor in Canada. He practiced medicine in Frankford, on the Trent River, and in Stratford, Napanee, and London, Ontario.In 1871 Oronhyatekha was part of the first Canadian rifle team invited to compete at Wimbledon, where he won nine prizes.He became President of the Grand Indian Council in 1874, an association of reserves in Quebec and Ontario, and often lobbied for change in legislation to give support to the native peoples in Canada.In 1878 he joined the Independent Order of Foresters (IOF) which was a fraternal life insurance company, and he became the first elected Supreme Chief Ranger of that organization in 1881. He was CEO for twenty-six years. He guided the IOF’s growth from a struggling bankrupt fraternal organization of 400 members to a membership of more than 250,000, and a fund of over eleven million dollars. Dr. Oronhyatekha wrote The History of the Independent Order of Foresters.Bay Street, looking north from Temperance Street (1907). We can see the IOF Temple Building (large building on the left) just one block down from Old City Hall. Toronto Archives, Fonds 1244, Item 7142In 1895 started the construction at Bay and Richmond streets of what was to become one of Toronto’s first iconic buildings: the Temple Building (the new IOF headquarters) by architect George W. Gouinlock.  Its opening in 1897 was marked with a parade and a banquet. A life-size sculpture of Oronhyatekha by Walter Seymour Allward was installed in the lobby.  The Temple had been built to last forever but was demolished in 1970 to make way for the Queen-Bay Centre.Oronhyatekha travelled the world extensively, and when he travelled, he collected artifacts. His collection included Australian boomerangs, Indo-Persian battle-axes, Burmese drums, Japanese shoes, and native artifacts, including a silver belt medal and compass owned by Tecumseh, an ally of General Brock. In his collection, as well, were over a thousand specimens of marine shells and coral. In 1911, part of his collection was donated to the Royal Ontario Museum in Toronto.Oronhyatekha had organized the details of his funeral. His body lay in state at Massey Music Hall in Toronto, and in a four-hour period on March 6th, 1907, over ten thousand people paid their respects. That evening a memorial service was conducted at St. Peter’s Anglican Church, which he had attended. His body was later transported in a specially-commissioned train to Tyendinaga Reserve for a family service at Christ Church and interment there.As one of the greatest builders of the fraternal movement in North America, Dr. Oronhyatekha was widely accepted as a distinguished leader in Canada. His success in Victorian society was founded on the Mohawk values in which he believed, including the principle of reciprocity between people and the institutions they create. While inhabiting two worlds, he remained true to his Mohawk principles, heritage and language.Photo courtesy of the Woodland Cultural CentreHear him talk:","211 Carlton St, Toronto, ON, Canada",http://www.cabbagetownpeople.ca/person/oronhyatekha-m-d/
12,A Founder of Women’s College Hospital,"Dr.  Rowena Hume, M.D.  1877 - 1966","Rowena Grace Douglas Hume was born in Galt, Ontario, the youngest of 12 children. She was a graduate of Galt Collegiate Institute, and University of Trinity College. She took post-graduate studies in England and the United States before returning to Canada to take a position at the Ontario Medical College for Women.Her career was exceptional, having lectured in Pathology and Bacteriology, she was Assistant in Anatomy, Ontario Medical College for Women, from 1902 – 1906. In 1911 she became a founder of Women’s College Hospital (she was its first president when it opened in 1911), and its first Chief of Obstetrics and Gynaecology, a position she held for twenty years.A pioneer of planned parenthood programs, she formed the Birth Control Clinic, the first in Canada, in Hamilton, Ontario. It opened March 3, 1932, and Doctor Rowena Hume was the first doctor in attendance.She was also actively involved in Alcoholics Anonymous, the Salvation Army’s Harbour Light Centre, and the Fred Victor Mission. After retiring, she ran a private practice in Toronto.Dr Hume’s murder as reported in the Montreal Gazette, October 1966.On October 2, 1966, Dr. Hume was found dead in her house on Carlton Street. She had been murdered.Deputy police chief Jim Noble’s (1924-2003) obituary gives us interesting insights in the arrest in Dr. Hume’s case (Noble was the officer who arrested the murderer):“in one of many infamous cases that he handled, Noble solved the murder of an 89-year-old female doctor, Rowena Hume, who was viciously beaten to death by a Salvation Army derelict whom she had hired to do a few odd jobs. Two days after the murder, having followed a series of clues, Noble nabbed the suspect on a downtown street; the man blurted out a confession almost instantly.”But beyond the sad story of her death, Dr. Hume’s memory conjures up the image of a great Cabbagetowner: a caring person, a humanist, and a pioneer.Hear her talk:","226 Carlton Street, Toronto, ON, Canada",http://www.cabbagetownpeople.ca/person/rowena-hume/
13,A Pioneer for Women’s Rights Who Made Laura Secord a Household Name,Sarah Anne Curzon  1833 - 1898,"Sarah Anne Curzon lived at 274 Carlton Street between 1873 and 1875. She was a playwright, poet, journalist, and a pioneer in educating readers of her newspaper and magazine columns in which she wrote about female suffrage, property rights equal to men and access to higher education for women.Canadian history was the main source of her writing. Furthermore, she wanted to prove that women could write professionally in a field that at the time in Canada was dominated by men.Although she moved easily among fiction, poetry and history, she felt that the moral lessons of Canadian history could be taught in novels and poetry.While living in Cabbagetown, she wrote the play, The Sweet Girl Graduate, which mocked the idea that women were not intelligent enough to study at the university level.Sarah supported Dr. Emily Stowe’s efforts to found the Women’s Medical College on Sumach Street, which opened in 1883. The two women also founded the Toronto Women’s Literacy Club, which focused on advancing women’s rights, as well as literacy.Laura Secord on her Journey to Warn the British, [ca. 1921] by C. W. Jefferys Government of Ontario Art Collection, 621223She was most impressed with Laura Secord and one of her major works was, Laura Secord, the Heroine of 1812: A Drama and other Poems. (1887)Sarah Anne Curzon is buried in Mount Pleasant Cemetery.Hear her talk:","274 Carlton Street, Toronto, ON, Canada",http://www.cabbagetownpeople.ca/person/sarah-anne-curzon/
14,Builder Who Specialized in Elaborate Plaster Decoration,Benjamin Brick  1845 - 1913,"Benjamin Brick was born in Worchester, England on March 11, 1845. He worked as a bricklayer until he came to Canada. He and his wife Anna Marie Ingleson, had five children, and in 1875 they moved into 314 Carlton Street, a Second-Empire style cottage that he had built.Shortly after they moved in, Mrs. Brick died, and in 1887 he married Margaret Leggott from Alliston, Ontario.At this time Mr. Brick was a prominent house-builder and chief contractor for the gas works site on Eastern Avenue.While on a trip to Paris, France, he was inspired by the workmanship and artistic forms that he saw in the houses that he visited.After his return to Toronto, he became well known for his richly–decorated plaster moldings and elaborate ceilings.In 1890 he moved his family into a new house he built a few doors away at 308 Carlton Street. His exquisite plaster moldings and dining room ceiling are still admired to this day.The original Brick house at 314 Carlton StreetIn 1897, after the death of his second wife, he married Jane Bartrem. He lived at 308 Carlton Street until his death on September 7, 1913. This house is rumoured to have a resident ghost.","314 Carlton Street, Toronto, ON, Canada",http://www.cabbagetownpeople.ca/person/benjamin-brick/
15,Before the Europeans,Cabbagetown’s First People   -,"The plaque is situated in the upper part of Riverdale Park West, at the intersection of the 2 main paths, just north of the splash pool.Centuries before there was a Cabbagetown community, and long before French fur traders or the British settlement called York, many different Aboriginal cultures such as the Anishnabai (Ojibwa), Haudenosaune (Iroquois), Huron, Eries, Petuns and Neutrals came together to trade, hold councils and seasonal ceremonies in this region of Ontario.The confluence of these many cultures gave birth to a great circle of Aboriginal civilization with a rich ceremonial, ritual, artistic and political legacy.","Riverdale Park, Winchester Street, Toronto, ON, Canada",http://www.cabbagetownpeople.ca/person/cabbagetowns-first-people/
16,"Broadcaster, Playwright, Renaissance Man",Lister Sinclair  1921 - 2006,"Lister Sinclair was born in Bombay, India to Scottish parents. Oddly enough at 18 months old he was sent to live with an aunt in London, England and didn’t see his parents again until he was seven. He makes reference to serving a long sentence at an English boarding school. Lister was gifted at mathematics and won a scholarship to St. Paul’s School in London.While visiting North America with his mother in 1939 World War II broke out. Mr. Sinclair was not fit for military service due to a back injury as a teenager. Unable to return to the continent they stayed on with friends in Vancouver.While at the University of British Columbia, he earned a Bachelor of Arts degree in mathematics and physics. In 1942, he moved to Toronto and continued his studies at the University of Toronto and also lectured in mathematics to undergraduates.His career was most memorable. He joined the CBC in 1944 and retired in 1999. Fifty five years is a long career and he was indeed one of Canada’s most prolific broadcasters.He wrote over 650 radio and television plays during his career. In 1949, he wrote Hilda Morgan, which was controversial as it featured a pregnant unmarried woman considering an abortion.His major contributions were to the programs that focused on the curious and diverse subjects like “Ideas“, “Man at the Centre”, and “The Nature of Things“.Bernie Lucht, longtime friend and executive producer of Ideas best described Lister as mischievious, brilliant, a compassionate genius with an expertise in everything from poetry, to mathematics, to music, to literature, and to culture. “He was simply a remarkable man.”A truly elegant man who did elegant work.In 1985 Lister Sinclair was made an officer of the Order of Canada.***Photo from www.gloriasaarinen.comOn November 4, 2014, the Cabbagetown People team met with Gloria Saarinen, long-time partner of Lister Sinclair. Ms. Saarinen shared with us memories of her life with Lister Sinclair.Gloria Saarinen is an internationally-acclaimed concert pianist and teacher. She worked with the great orchestras and conductors of the world, including Sir Ernest MacMillan.The transcription of this interview has been shortened and slightly edited.Memories of Lister Sinclair as told by Gloria Saarinen“When he was a baby just after he was weaned, his parents went to India. The father had a job there and they left him with his mother’s sister in London who, according to Lister, hated kids. She didn’t want him. So he never saw his parents. They’d write to him. I think he was seven before he saw his parents again. But the sister needed money and she was being paid. So she put him in boarding school at St Paul’s Boarding School, which is in London. And I know three people who all went to St. Paul’s School. And all hated it.“He ended up in Vancouver and he met all sorts of people at the university. There was Jon Drainie and Barry Moss and Pierre Berton. A whole host of people (and) all of them ended up coming to Toronto. And then Lister wrote that play We all Hate Toronto, which is quite fun.“Lister was fearless when it came to discussions, talking, words, ideals. I’ve never met anyone who was quite as fearless as he was. But then under duress when he’s attacked, he’s powerless. He doesn’t know what to do. He won’t stand up for himself. So that’s just who he was.“He was reading all the time. And I used to watch him. He’d stand on one leg, with the other one crooked behind the other one. Just standing there reading, anywhere. He was funny. He was always dry, humourous. And other times he quoted poetry. He talked about all sorts of things. Whether it was talking about just water or whatever it happened to be. It was fascinating.“And we travelled South America, San Jose and all kinds of places. And went on cloud forest walks. And saw butterflies and strange, unbelievable things. And saw wonderful architecture that he knew everything about.“During the time when we were in Cabbagetown, we always liked wandering around. And pottering in the shops because you never know what you’re going to find.“Lister was very Scottish in terms of loving Robbie Burns. He wouldn’t call him Robbie. He said, ‘He never got called that. It was Rob Burns. Nobody called him Robbie.’ So that’s what he said. And (he) knew the Burns tartan. And Lister has got his own tartan. And he was very, very strong on ‘You don’t wear tartans if you’re not a Wallace or a Stuart or whatever it is. You should be wearing the right tartan’.”","31 Hillcrest Park, Toronto, ON, Canada",http://www.cabbagetownpeople.ca/person/lister-sinclair/
17,1927 Flyweight Boxing Champion of the World,Albert (Frenchy) Bélanger  1906 - 1969,"Albert (Frenchy) Bélanger, the son of Adolphe and Louise Bélanger was born in Toronto. He was the second eldest of seven children. All the children in the family had nicknames and Albert’s was “Bear.” The family originally lived on Sackville Street.Being one of the toughest boys to come out of Cabbagetown, he was simply known as “The Champ.” Because of his professional boxing skills he became a sports icon in the Roaring 20s. On December 19, 1927, at the young age of 21, he won the National Boxing Association’s World Flyweight title at Toronto’s CNE Coliseum, beating England’s Ernie Jarvis. Albert won the title by a decision and he became the toast of Hogtown. The day after the fight, newspapers described it as an epic battle. The match drew 9,500 people, including many politicians and businessmen. Frenchy retired in 1930 after 61 bouts, which include 13 knockouts, 24 decisions, seven draws, and 17 losses. He also won the Canadian title and defended it several times.In the same year he married Ivy Bertha Bracewell, and they had two children. They lived on Winchester Street, and at the same time Frenchy worked as a waiter/bouncer at the Winchester Hotel on Parliament Street.Frenchy was known as a kind, funny and loving father. He was a “real gentleman,” and a role model for the many children with whom he came in contact. He started a boxing club at a church and it was discovered only by accident that he was a world champion boxer. Such was his humility. On any night of the week, Frenchy could draw 10,000 fans into the coliseum to watch him fight. He fought at a time that boxing historians refer to as the “Golden Age of Flyweights.”Hear him talk:","2 Lancaster Avenue, Toronto, ON, Canada",http://www.cabbagetownpeople.ca/person/albert-frenchy-belanger/
18,"Toronto Official Photographer; Left a Photographic Legacy of Over 35,000 Images of Toronto",Arthur Goss  1881 - 1940,"Arthur Goss was born in London, Ontario, and was the eldest child of John and Jessica Goss. His father was a journalist and worked for Grip Publishing in Toronto.Arthur went to Rose Avenue School for two years. The family moved a number of times within Cabbagetown.After his father died in 1892, his mother had little money. For financial reasons, Arthur, at the age of 11, began his working life as an office boy in the City of Toronto Engineer’s Office on Front Street.In 1896 Arthur Goss and his mother moved to Alpha Avenue where he remained until he married Ethel Ross Munro in 1903.As a young man, Arthur Goss joined the Toronto Camera Club and formed the Studio Club. No one knows how and where he learned to take photographs.While working for the City, he attained the position of City Photographer and remained so for 37 years, devoting his entire working life to creating countless important photos of early Toronto, including Cabbagetown and the Riverdale Zoo.While his personal interest lay in pictorial photography from 1911 to his death in 1940, the Department of Public works Photography and Blue Printing Section employed him to document a wide range of municipal activities.These images produced a photographic record of Toronto. Goss left a legacy of over 35,000 images. In 2013, Riddle Films produced a documentary on Arthur Goss that you can see HERE.Hear him talk:Bloor Street Viaduct, looking east July 18, 1917 by Arthur Goss; City of Toronto Archives Series 372, Sub-series 10, Item 841","20 Metcalfe Street, Toronto, ON, Canada",http://www.cabbagetownpeople.ca/person/arthur-goss/
19,Author and TV Host,Fredelle Bruser Maynard  1922 - 1989,"Fredelle Bruser Maynard was born and raised in Saskatchewan and Manitoba. Foam Lake was the first of many towns in which she lived, as her family often moved. Her father was a Russian painter, turned country merchant, who opened one store after another in many small towns.Fredelle studied at the University of Manitoba and the University of Toronto before earning her Ph.D at Radcliffe. She went on to become a brilliant academic, a popular teacher, who taught at Wellesley and Radcliffe, and an acclaimed writer.She is known for her memoirs and books on child care. They include: Guiding Your Child to a More Creative Life, The Child Care Crisis, and her memoirs: Raisins and Almonds, and The Tree of Life. Her articles have been published in many U.S. and Canadian magazines, and journals. She was the host of TVOntario’s “Parents and Children”.Hear her talk:","25 Metcalfe Street, Toronto, ON, Canada",http://www.cabbagetownpeople.ca/person/fredelle-bruser-maynard/
20,Canadian Figure Skater and Artist,Toller Cranston  1949 - 2015,"(Plaque to be installed in 2017 at 3 Metcalfe Street)Legendary figure skater Toller Cranston was born in Hamilton, Ontario. He spent his young years in Kirkland Lake and, at the age of 11, his family moved to Montréal.At the age of seven, his parents bought him hockey skates. He, in turn, tried to dance on the ice. And so began his love of figure skating. He met Eva Vasak when he was 11 and she coached him for eight years.In 1968, he met Ellen Burka, a renowned skating coach. She invited him to stay in her home for seven days; he ended up staying for seven years. Toller, a clockwise spinner and jumper, brought new artistry to the sport. In no time, he became known for his creative free-skating style, dazzling crowds while accumulating medals.During competitions and championships, it was very clear that Toller was an original: radical in his approach to skating and unlike anything that the public had ever seen. Millions were glued to their televisions to watch his spectacular flamboyant performances.It has been said that the face of men’s figure skating was changed by Toller Cranston and Ellen Burka. Cranston became one of the most sought after choreographers. He inspired future generations of champion skaters who became “tollerized” by wanting to imitate his style.After the 1976 competitive season, Cranston, who always wanted to develop “theatre on ice,” performed and starred in the Broadway show The Ice Show. He then went on to tour Europe with Holiday on Ice.Throughout the late 1970s and 1980s, he made a series of skating specials for CBC television. In 1997, he left the skating world to work exclusively on painting and art.Although we know him as a skater, all the while he was also an accomplished painter. Toller’s interest in art began at an early age. His mother was a painter and he too always wanted to paint. He went to the École des beaux-arts de Montréal and, by his third year, it was suggested that the school had little more to teach him. At this point, he turned his attention to becoming a professional artist.Credit: Ottawa CitizenAfter selling his Cabbagetown home in Toronto in the early 1990s, he bought a home in San Miguel de Allende in Mexico where his main focus became painting. In an interview, he said that San Miguel seduced him. He loved the fact that it was so cosmopolitan. He became very involved in the well-being of the local community and a most generous philanthropist.Toller Cranston died in his beloved San Miguel in 2015 at the age of 65.Many paintings, drawings, and objets d’art from the Toller Cranston Estate Collection are being made available through the Artworld Fine Art Gallery in Toronto.Cranston lived a unique yet complex cutting-edge life. He was a colourful character, known for his sense of humour, his energetic manner and his enormous generosity. In 2003, the Globe and Mail wrote that he was “his own work of art.” Critics have said that he will be remembered as larger than life, the figure skating champion who revolutionized the sport and brought colour and panache to the world.Click HERE to see Toller Cranston Remembered – Video Presentation for Memorial (2015)Awards and Honours1976 Canadian Olympic Hall of Fame
1977 Officer of the Order of Canada
1995 Special Olympic Order from The Canadian Olympic Association
1996 Ontario Sports Hall of Fame
1997 Canada’s Sports Hall of Fame
2003 Canada’s Walk of Fame
2004 World Figure skating Hall of FameMedals1971-1976 Canadian National Figure Skating Championships – gold
1974 World Figure Skating Championships – bronze
1976 Winter Olympic, Figure Skating – bronze","3 Metcalfe Street, Toronto, ON, Canada",http://www.cabbagetownpeople.ca/person/toller-cranston/
21,One of Canada’s Greatest Artists and Teachers,Frederick Hagan  1918 - 2003,"When Frederick Hagan was 13 years old, his father, a cabinet maker, died. His mother was left to raise eight children, so at the age of 16, he dropped out of school to work in a paper-box factory.From a studio he set up in an empty garage, he used to wander the streets of his Cabbagetown neighbourhood sketching and painting.While studying at the Ontario College of Art (now Ontario College of Art and Design) his teachers were John Alfsen, who became a mentor and father figure, and Frank Carmichael of the Group of Seven.In 1946 Mr. Hagan was hired to teach drawing, painting and printmaking at O.C.A. He was living in Newmarket at the time and commuted to Toronto for the next 37 years.Like most painters, his work was deeply-rooted in his own experiences, and it was never easy to classify. His work never lost its figurative basis. He had a different way of seeing the world.Mr. Hagan left a great legacy as a teacher at O.C.A. He challenged his students and gave them an immense technical background, along with invitations to great parties at his home.In 1985 Canada Post commissioned him to create a set of 16 postage stamps on the theme of Canadian explorers.Stamps by Frederick HaganIn 1998, he was awarded the Royal Canadian Academy of Art’s medal. Previously, he received the Canadian Centennial Medal.His works are held by the National Gallery of Canada, the Art Gallery of Ontario and some public buildings in the Town of Newmarket.Frederick Hagan was one of Canada’s greatest artists, a great teacher and a unique personality.Hear him talk:","262 Ontario Street, Toronto, ON, Canada",http://www.cabbagetownpeople.ca/person/frederick-hagan/
22,Author and Witness to Depression-Era Cabbagetown,Hugh Garner  1913 - 1979,"In 1919, when he was six years old, Hugh Garner’s parents emigrated to Canada from Yorkshire, England. He grew up in Cabbagetown and began working at the Toronto Star as a copy boy. Eventually, he realized that in order to succeed as a writer, he had to work at the task full time, so he quit his day job.During the Depression he “rode the rails” across Canada and the United States, working at a number of different jobs. He also fought in the Spanish Civil War. When World War II broke out, he joined the Navy and served on Atlantic convoy duty until 1945.As a Canadian writer Hugh Garner’s poor, urban, Protestant background is evident in his work. His focus was on working-class Ontario. The best known of his realistic novels is Cabbagetown (1950). His extensive literary output includes 100 short stories, 17 books, numerous articles, radio and T.V. scripts, and his autobiography, One Damn Thing After Another. In 1963, Hugh Garner was awarded the Goveror General’s Literary Award for Hugh Garner’s Best Stories, A Collection of His Short Stories.Hugh Garner is known for his hard-living lifestyle, which he lived to the end.The Hugh Garner Housing Co-operative on Ontario Street is named after him.Hear him talk:","550 Ontario Street, Toronto, ON, Canada",http://www.cabbagetownpeople.ca/person/hugh-garner/
23,First Conductor of The Toronto Symphony Orchestra,Luigi von Kunits  1871 - 1931,"Luigi von Kunits was born and raised in the musically-enriched city of Vienna, Austria. He studied violin, composition and music history with some of the finest teachers.When Luigi von Kunits was eleven years old, the great Brahms himself asked him to play second violin in one of the composer’s string quartets. When he was twenty-one, he had the opportunity to perform his own violin concerto with the Vienna Philharmonic Orchestra.In 1893, he traveled to the United States to perform with an Austrian orchestra at the Chicago World’s Fair, where he also won the best solo violinist trophy. At this time, he decided to stay in the United States and taught violin in Chicago from 1893 until 1896. Subsequently, he taught at the Pittsburgh Conservatory from 1896 until 1910 and was also concertmaster of the Pittsburgh Symphony Orchestra.In 1912 he came to Canada and the Canadian Academy of Music in Toronto offered him a position as head violin teacher.In September of 1922, two young men visited Luigi von Kunits in his studio. The proposition Louis Gesensway and Abe Fenboque presented was to found a new symphony orchestra. They had no money or connections and spoke only for themselves and some fine musicians, most of whom were his students. These musicians had a great desire to make better music than they were playing at the vaudeville houses or the “new” movie-houses. They wanted Luigi von Kunits because they knew he could train an orchestra comprised of his students, and that he would be inspired by the challenge of building a new orchestra.On April 23, 1923, at 5:00 pm, the New Symphony Orchestra, conducted by Luigi von Kunits, made its debut in Massey Hall. There were about 60 musicians and admission was 75, 50 and 25 cents, no seats reserved. The response was very good and the critics were most impressed.Mrs. von Kunits initiated the Toronto Symphony Orchestra Women’s Committee. This strong group of women found ways to financially support and sustain the orchestra, and by the fifth season the orchestra had found its place and its patrons. The New Symphony became the Toronto Symphony Orchestra. For the next five years Luigi von Kunits (now an honorary Doctor of Music from the University of Toronto) brought a series of Twilight Concerts to Toronto, which gave purpose and pleasure to its musicians and a great deal of pleasure to its citizens.The 1924 – 25 season included the first orchestra sponsored jointly by the Toronto Board of Education and the Toronto Catholic School Board. This concert was the beginning of the TSO Education Program.In the Fall of 1929, the first radio broadcast was heard across Canada on CNR Radio Network. This performance was broadcast from the Arcadian Court, a large dining area in Simpson’s Department Store in downtown Toronto. The concerts took place on Sundays, which was convenient for the musicians. The venue for broadcasts eventually moved to the studios of CFRB Radio.Maestro von Kunits, with his proper conductor’s mane of hair, always accepted admiration and applause with great style. His life was music. He was devoted to establishing a solid foundation for his orchestra. It has been said that he brought German music to this new land and transmitted it through a mind that was essentially Greek. He acknowledged his doctorate in Latin, yet he was known to keep notes about his students in Greek.When Luigi von Kunits died in 1931, the members of the Toronto Symphony Orchestra mourned the loss of their great conductor. For nine years they had played for him, admired him as an artist and loved him as a man.Hear him talk:","675 Ontario Street, Toronto, ON, Canada",http://www.cabbagetownpeople.ca/person/luigi-von-kunits/
24,"Political Cartoonist, Global Literacy  Advocate, Humanitarian",Ben Wicks  1926 - 2000,"Ben Wicks was an acclaimed cartoonist with an incredible sense of humour. He was born in London, England in 1926, the son of a poor, working class Cockney family. During wartime the family evacuated to the country. When Ben was 14 years of age they returned to the city and at that time he left school, and he got his first job as a shipping clerk. “I was bloody hopeless at school,” he recalled. “Left at 14 and they were pleased to see me go as I was.”He took evening classes at an art school. “They told me I should take up something else, so I quit. “They were right, I still can’t draw,” he said, years after becoming a highly successful cartoonist.He did learn to play the saxophone in the British Army and toured Europe with a band.In 1957 with just twenty five dollars in his pocket, he and his wife Doreen emigrated to Canada. While in Calgary, he worked as a milkman and then joined the Canadian Army as a musician. It was at this time that he began studying cartooning for books. His first major success was being published by the Saturday Evening Post.In 1963, he visited Toronto and met feature cartoonist Norman Drew who advised him to move to Toronto. Before long he began work at the Toronto Telegram and his cartoon “The Outcasts” was soon syndicated in over 50 newspapers. In 1971 when the Telegram was no longer in operation, his cartoons were picked up by the Toronto Star. Now called “Wicks,” it was carried by 84 Canadian and more than 100 American newspapers.“Ben Wicks’ cartoons provide important insights on 20th century events and Canadian culture. His work features keen insights into the human condition and a sense of humour that add depth and texture to our understanding of historical events, particularly during the Trudeau era. The cartoons will be particularly useful for research into Canadian studies, political science and communications, says Michael Moir, University archivist and Head of the Clara Thomas Archives & Special Collections.“I had admired the single-panel Ben Wicks cartoons for years”, his friend and standup comic Dave Broadfoot said. “Those cartoons worked like what is called a “blackout’ on stage – a comic idea that lasts 30 seconds with one strong, self-explanatory punch line. Not easy to do. That’s what Ben’s cartoons were: funny, political and brief.”In 1980, he opened a restaurant on Parliament Street in Cabbagetown called The Ben Wicks. He sold it just three years later, after losing his shirt. He was apparently a clever creative man but a very poor administrator. The restaurant kept his name for a while, then became The Local Gest. It is now called The Tilted Dog.Ben Wicks was also a TV personality and on his own show, The World of Wicks, he interviewed personalities such as Michael Caine, Ingrid Bergman and Sir Edmund Hilary.He also wrote and illustrated books, and established the I.Can Foundation, which provided education and literacy programs, such as Born to Read, for children.Hear him talk:","424 Parliament Street, Toronto, ON, Canada",http://www.cabbagetownpeople.ca/person/ben-wicks/
25,A Writer with a Passion for Western Canada,Flos Jewell Williams  1893 - 1970,"Flos Jewell Williams was born in Toronto in 1893 and attended Jarvis Collegiate and Toronto Normal School. She began teaching in Bobcaygeon in the Kawartha Lakes District, which established the setting for her first novel. After teaching for many years in Toronto, she married and moved to Calgary. As she was separated from her friends and family, she began to write. She submitted, The Judgement of Solomon, to the Hodder & Stoughton Canadian contest and won a prize of $2,500. This came as a big surprise, as she had not previously written.While living in Calgary, she raised her twin sons and contributed poetry, short stories and articles to Canadian periodicals, to qualify for membership in the Canadian Women’s Press Club.In 1949 she won second prize in the Ryerson book contest for Fold Home, set in the Cariboo district of British Columbia.Her novels dramatized the experiences of immigrants building a new life in the harsh Canadian rural environment.Flos Jewell Williams was one of the best known women writers of Western Canada.","5 Rose Avenue, Toronto, ON, Canada",http://www.cabbagetownpeople.ca/person/flos-jewell-williams/
