,Address,Bld_link,Companies,Completed,Current use,Demolished,Heritage,Image,Name,Notes,Style,Type
12,15-17 Gifford Street Cabbagetown Toronto,show_building.php?BuildingID=4896,,unknown,Residential,,Cabbagetown South Heritage Conservation District,/tobuilt_bk/php/Buildingimages/15-17Gifford.jpg,15-17 Gifford Street,,Arts and Crafts,Semi-detached house
13,18 Gifford Street Cabbagetown Toronto,show_building.php?BuildingID=5103,,unknown,Residential,,Cabbagetown South Heritage Conservation District,/tobuilt_bk/php/Buildingimages/18GiffordSt.jpg,18 Gifford Street,,Arts and Crafts,Detached house
14,19-21 Gifford Street Cabbagetown Toronto,show_building.php?BuildingID=4897,,unknown,Residential,,Cabbagetown South Heritage Conservation District,/tobuilt_bk/php/Buildingimages/19-21Gifford.jpg,19-21 Gifford Street,,Arts and Crafts,Semi-detached house
15,23-25 Gifford Street Cabbagetown Toronto,show_building.php?BuildingID=4898,,unknown,Residential,,Cabbagetown South Heritage Conservation District,/tobuilt_bk/php/Buildingimages/23-25Gifford.jpg,23-25 Gifford Street,,Arts and Crafts,Semi-detached house
16,27-29 Gifford Street Cabbagetown Toronto,show_building.php?BuildingID=4899,,unknown,Residential,,Cabbagetown South Heritage Conservation District,/tobuilt_bk/php/Buildingimages/27-29Gifford.jpg,27-29 Gifford Street,,Arts and Crafts,Semi-detached house
17,31-33 Gifford Street Cabbagetown Toronto,show_building.php?BuildingID=4900,,unknown,Residential,,Cabbagetown South Heritage Conservation District,/tobuilt_bk/php/Buildingimages/31-33Gifford.jpg,31-33 Gifford Street,,Arts and Crafts,Semi-detached house
18,34-36 Gifford Street Cabbagetown Toronto,show_building.php?BuildingID=5106,,unknown,Residential,,Cabbagetown South Heritage Conservation District,/tobuilt_bk/php/Buildingimages/34-36GiffordSt.jpg,34-36 Gifford Street,,Arts and Crafts,Semi-detached house
19,35-37 Gifford Street Cabbagetown Toronto,show_building.php?BuildingID=4901,,unknown,Residential,,Cabbagetown South Heritage Conservation District,/tobuilt_bk/php/Buildingimages/35-37Gifford.jpg,35-37 Gifford Street,,Arts and Crafts,Semi-detached house
20,38-40 Gifford Street Cabbagetown Toronto,show_building.php?BuildingID=5107,,unknown,Residential,,Cabbagetown South Heritage Conservation District,/tobuilt_bk/php/Buildingimages/38-40GiffordSt.jpg,38-40 Gifford Street,,Arts and Crafts,Semi-detached house
21,39 Gifford Street Cabbagetown Toronto,show_building.php?BuildingID=4902,,unknown,Residential,,Cabbagetown South Heritage Conservation District,/tobuilt_bk/php/Buildingimages/39Gifford.jpg,39 Gifford Street,,Arts and Crafts,Detached house
22,41-43 Gifford Street Cabbagetown Toronto,show_building.php?BuildingID=4903,,unknown,Residential,,Cabbagetown South Heritage Conservation District,/tobuilt_bk/php/Buildingimages/41-43Gifford.jpg,41-43 Gifford Street,,Arts and Crafts,Semi-detached house
23,42-44 Gifford Street Cabbagetown Toronto,show_building.php?BuildingID=5108,,unknown,Residential,,Cabbagetown South Heritage Conservation District,/tobuilt_bk/php/Buildingimages/42-44GiffordSt.jpg,42-44 Gifford Street,,Arts and Crafts,Semi-detached house
24,46-48 Gifford Street Cabbagetown Toronto,show_building.php?BuildingID=5109,,unknown,Residential,,Cabbagetown South Heritage Conservation District,/tobuilt_bk/php/Buildingimages/46-48GiffordSt.jpg,46-48 Gifford Street,,Arts and Crafts,Semi-detached house
25,191 Guildwood Parkway Guildwood Scarborough,show_building.php?BuildingID=7431,,,Abandoned,,Heritage property,/tobuilt_bk/php/Buildingimages/GuildStudio.jpg,Guild Studio,"This building originally served as a garage and stables, later it was used for artist's workshops. It burned down circa 2011.",Arts and Crafts,Low-rise
26,191 Guildwood Parkway Guildwood Scarborough,show_building.php?BuildingID=7430,,1915,Abandoned,,Heritage property,/tobuilt_bk/php/Buildingimages/GuildInn1.jpg,Guild Inn,"This building was originally a summer home for Colonel Harold Bickford. In 1932, when the property was purchased by Rosa Breithaupt, it became an artist's colony. The property served military purposes during the Second World War, and only in 1947 did it become an artist's colony again. The grounds on which the Guild Inn sits were sold to the city for parkland in 1978, and in 1996 the Parks and Recreation Division took on responsibility for the Inn. More recently, it has been abandoned for some time. In August, 2009, it was announced that Centennial College will renovate the building and that it will contain the college's Institute for Culture and Heritage.",Arts and Crafts,Low-rise
27,383 Huron Street University of Toronto Toronto,show_building.php?BuildingID=2230,['Also see Douglas BrownÂ´s Book available in pdf. form in Resources'],1892,Religious,,Heritage property,/tobuilt_bk/php/Buildingimages/StThomasChurch1.jpg,St. Thomas' Anglican Church,"This building was altered in 1917 by the original architect, Eden Smith.",Arts and Crafts,Religious
28,406 Jarvis Street Church-Wellesley Toronto,show_building.php?BuildingID=2160,['Charles J. Gibson'],1900,Educational,,Heritage property,/tobuilt_bk/php/Buildingimages/IveyHouse.jpg,Ivey House,,Arts and Crafts,Detached house
29,2 King Street Weston York,show_building.php?BuildingID=6873,"['DunlopFarrow Architects Inc.', 'Lindsay and Brydon']",1914,Library,,Heritage property,/tobuilt_bk/php/Buildingimages/TPLWeston1.jpg,Weston Library,"The Weston Library opened in 1914, a year after the Carnegie Corporation provided a $10,000 grant to the Weston Public Library Board. It was renovated and expanded in 1981, and refurbished in 2005.",Arts and Crafts,Low-rise
30,8 King Street Crescent Weston York,show_building.php?BuildingID=8431,,unknown,Residential,,Weston Heritage Conservation District,/tobuilt_bk/php/Buildingimages/8KingStCres.jpg,8 King Street Crescent,,Arts and Crafts,Detached house
31,12 King Street Crescent Weston York,show_building.php?BuildingID=8438,,unknown,Residential,,Weston Heritage Conservation District,/tobuilt_bk/php/Buildingimages/12KingStCres1.jpg,12 King Street Crescent,,Arts and Crafts,Detached house
32,14 King Street Crescent Weston York,show_building.php?BuildingID=8439,,unknown,Residential,,Weston Heritage Conservation District,/tobuilt_bk/php/Buildingimages/14KingStCres.jpg,14 King Street Crescent,,Arts and Crafts,Detached house
33,35 Little Avenue Weston York,show_building.php?BuildingID=8475,,unknown,Residential,,Weston Heritage Conservation District,/tobuilt_bk/php/Buildingimages/35LittleAve.jpg,35 Little Avenue,,Arts and Crafts,Detached house
34,40 Lyall Avenue Upper Beach Toronto,show_building.php?BuildingID=8019,,1922,Residential,,Lyall Avenue Heritage Conservation District,/tobuilt_bk/php/Buildingimages/40LyallAve.jpg,40 Lyall Avenue,,Arts and Crafts,Detached house
35,48 Lyall Avenue Upper Beach Toronto,show_building.php?BuildingID=8026,,1956,Residential,,Lyall Avenue Heritage Conservation District,/tobuilt_bk/php/Buildingimages/48LyallAve.jpg,48 Lyall Avenue,,Arts and Crafts,Detached house
36,47 Madison Avenue The Annex Toronto,show_building.php?BuildingID=3994,['Also see Douglas BrownÂ´s Book available in pdf. form in Resources'],1906,Residential,,"West Annex Phase I, Madison Avenue, Heritage Conservation District",/tobuilt_bk/php/Buildingimages/47MadisonAv.jpg,47 Madison Avenue,"Builder Note:E. Wickham for Thomas Andrews. This property contributes to the Toronto Annex streetscape of the District with a house form building similar in height and front yard setback to its neighbours, and a front facing gable. The 2.5 storey detached building with appearance of an assymetric centre hall  plan constructed during the period of significance between 1885 and 1925 in an Arts and Crafts style by an important architect of the period, Eden Smith, with sufficient integrity to permit restoration. Features representative of the Arts and Crafts style include the asymmetric composition, absence of machine made mass produced detail, emphasis on the horizontal, faceted turret with high windows and low sloped roof, hipped steep main roof, and stuccoed bay windows.",Arts and Crafts,Detached house
37,138 Madison Avenue The Annex Toronto,show_building.php?BuildingID=5343,['S. Hamilton Townsend'],1903,Residential,,"West Annex Phase I, Madison Avenue, Heritage Conservation District",/tobuilt_bk/php/Buildingimages/138Madison1.jpg,138 Madison Avenue,"Style Note: Eclectic, English Aesthetic Movement, California Clinker Brick

This property contributes to the Toronto Annex streetscape of the District with a house form building similar in height and front yard setback to its neighbours. The
2.5 storey detached villa with appearance of an assymetric centre hall plan constructed during the period of signi cance between 1885 and 1925 in Eclectic, English Aesthetic Movement style by an important architect of the period with suf cient integrity to permit restoration. Features representative of the English Aesthetic movement style include asymmetrical massing and door location, central chimney indicating a possible inglenook in the entry hall, and horizontal emphasis in windows and other detailing. The clinker brick is popular in similarly in uenced houses in California. Gates and front garden wall important features.

Hamilton Townsend was OAA president, opposed to TorontoÂ´s Architectural Eighteen Club Reference, Contract Record, volume 14, Sept 1903

It was determined that the architect for no. 138 Madison, was Hamilton
Townsend, not Jocelyn Davidson as attributed by Patricia McHugh who also mistakenly named the house Rivermead. McHughâs information conflicts with the
1903 Contract Record [Toronto], vol. Xiv, 16 September 1903, which indicates the
house at 138 Madison as designed by architect S.H. Townsend. Gardiner descendants cleared the confusion. The Gardiner family did live at 138 Madison Avenue, but Rivermead was the name of the family weekend property in Weston, designed by Jocelyn Davidson.",Arts and Crafts,Detached house
38,1-3 Nasmith Avenue Cabbagetown Toronto,show_building.php?BuildingID=4904,,unknown,Residential,,Cabbagetown South Heritage Conservation District,/tobuilt_bk/php/Buildingimages/1-3NasmithAve.jpg,1-3 Nasmith Avenue,,Arts and Crafts,Semi-detached house
39,2-4 Nasmith Avenue Cabbagetown Toronto,show_building.php?BuildingID=5116,,unknown,Residential,,Cabbagetown South Heritage Conservation District,/tobuilt_bk/php/Buildingimages/2-4NasmithAve.jpg,2-4 Nasmith Avenue,,Arts and Crafts,Semi-detached house
40,5-7 Nasmith Avenue Cabbagetown Toronto,show_building.php?BuildingID=4905,,unknown,Residential,,Cabbagetown South Heritage Conservation District,/tobuilt_bk/php/Buildingimages/5-7NasmithAve.jpg,5-7 Nasmith Avenue,,Arts and Crafts,Semi-detached house
41,6-8 Nasmith Avenue Cabbagetown Toronto,show_building.php?BuildingID=5117,,unknown,Residential,,Cabbagetown South Heritage Conservation District,/tobuilt_bk/php/Buildingimages/6-8NasmithAve.jpg,6-8 Nasmith Avenue,,Arts and Crafts,Semi-detached house
42,9-11 Nasmith Avenue Cabbagetown Toronto,show_building.php?BuildingID=4906,,unknown,Residential,,Cabbagetown South Heritage Conservation District,/tobuilt_bk/php/Buildingimages/9-11NasmithAve.jpg,9-11 Nasmith Avenue,,Arts and Crafts,Semi-detached house
43,10-12 Nasmith Avenue Cabbagetown Toronto,show_building.php?BuildingID=5118,,unknown,Residential,,Cabbagetown South Heritage Conservation District,/tobuilt_bk/php/Buildingimages/10-12NasmithAve.jpg,10-12 Nasmith Avenue,,Arts and Crafts,Semi-detached house
44,16-18 Nasmith Avenue Cabbagetown Toronto,show_building.php?BuildingID=5119,,unknown,Residential,,Cabbagetown South Heritage Conservation District,/tobuilt_bk/php/Buildingimages/16-18NasmithAve.jpg,16-18 Nasmith Avenue,,Arts and Crafts,Semi-detached house
45,17-19 Nasmith Avenue Cabbagetown Toronto,show_building.php?BuildingID=4908,,unknown,Residential,,Cabbagetown South Heritage Conservation District,/tobuilt_bk/php/Buildingimages/17-19NasmithAve.jpg,17-19 Nasmith Avenue,,Arts and Crafts,Semi-detached house
46,20-22 Nasmith Avenue Cabbagetown Toronto,show_building.php?BuildingID=5120,,unknown,Residential,,Cabbagetown South Heritage Conservation District,/tobuilt_bk/php/Buildingimages/20-22NasmithAve.jpg,20-22 Nasmith Avenue,,Arts and Crafts,Semi-detached house
47,21-23 Nasmith Avenue Cabbagetown Toronto,show_building.php?BuildingID=4909,,unknown,Residential,,Cabbagetown South Heritage Conservation District,/tobuilt_bk/php/Buildingimages/21-23NasmithAve.jpg,21-23 Nasmith Avenue,,Arts and Crafts,Semi-detached house
48,24-26 Nasmith Avenue Cabbagetown Toronto,show_building.php?BuildingID=5121,,unknown,Residential,,Cabbagetown South Heritage Conservation District,/tobuilt_bk/php/Buildingimages/24-26NasmithAve.jpg,24-26 Nasmith Avenue,,Arts and Crafts,Semi-detached house
49,25-27 Nasmith Avenue Cabbagetown Toronto,show_building.php?BuildingID=4910,,unknown,Residential,,Cabbagetown South Heritage Conservation District,/tobuilt_bk/php/Buildingimages/25-27NasmithAve.jpg,25-27 Nasmith Avenue,,Arts and Crafts,Semi-detached house
50,28-30 Nasmith Avenue Cabbagetown Toronto,show_building.php?BuildingID=5122,,unknown,Residential,,Cabbagetown South Heritage Conservation District,/tobuilt_bk/php/Buildingimages/28-30NasmithAve.jpg,28-30 Nasmith Avenue,,Arts and Crafts,Semi-detached house
51,29-31 Nasmith Avenue Cabbagetown Toronto,show_building.php?BuildingID=4911,,unknown,Residential,,Cabbagetown South Heritage Conservation District,/tobuilt_bk/php/Buildingimages/29-31NasmithAve.jpg,29-31 Nasmith Avenue,,Arts and Crafts,Semi-detached house
52,154-156 Amelia Street Cabbagetown Toronto,show_building.php?BuildingID=3883,,unknown,Residential,,Cabbagetown North Heritage Conservation District,/tobuilt_bk/php/Buildingimages/154-156Amelia.jpg,154-156 Amelia Street,,Arts and Crafts,Semi-detached house
53,450 Blythwood Road Lawrence Park Toronto,show_building.php?BuildingID=11142,,1953,Educational,,,/tobuilt_bk/php/Buildingimages/1f5e28c0.jpg,Sunny View Public School,,Arts and Crafts,School
54,450 Broadview Avenue Riverdale Toronto,show_building.php?BuildingID=3458,['Robert McCallum'],1906,Clubhouse,,Heritage property,/tobuilt_bk/php/Buildingimages/StMatthewsLawnBowling.jpg,St. Matthew's Lawn Bowling Club,"Formerly at 548 Gerrard Street East This building was relocated to the eastern edge of Riverdale Park, at the top of the slope.",Arts and Crafts,Low-rise
55,43 Castle Frank Crescent Rosedale Toronto,show_building.php?BuildingID=8092,,1911,Residential,,South Rosedale Heritage Conservation District,/tobuilt_bk/php/Buildingimages/43CastleFrankCr.jpg,43 Castle Frank Crescent,,Arts and Crafts,Detached house
56,584 Church Street Church-Wellesley Toronto,show_building.php?BuildingID=10625,['P. H. Finney'],1909,Commercial,,Designated under Part IV Ontario Heritage Act,/tobuilt_bk/php/Buildingimages/e7d45bdf.jpg,Catherine Collard House,"Supports the character of the collection of 19th/20th century residential buildings in this section of church street. Constructed on the former Dundonald Estate.
In 2011, a condo was almost built in place of Catherine Collard House and its neighbours - but the property owner thankfully withdrew the plans at the last minute.",Arts and Crafts,Detached house
57,43 Cross Street Weston York,show_building.php?BuildingID=8501,,unknown,Residential,,Weston Heritage Conservation District,/tobuilt_bk/php/Buildingimages/43CrossSt.jpg,43 Cross Street,,Arts and Crafts,Detached house
58,181 Ellis Avenue Swansea Toronto,show_building.php?BuildingID=7007,['John Gemmell'],1889,Residential,,Heritage property,/tobuilt_bk/php/Buildingimages/AlexGemmellHouse.jpg,Alexander Gemmell House,,Arts and Crafts,Detached house
59,75 Elmer Avenue The Beach Toronto,show_building.php?BuildingID=9818,,1913,Residential,,Heritage property,/tobuilt_bk/php/Buildingimages/75ElmerAve.jpg,Herbert W. Waters House,"Herbert H. Waters developed the surrounding area in the Beach, and built this house in the ""Bungalow Style"" (with Arts & Crafts details) in the early 20th Century. He occupied the site until 1970.The Reason for Listing provides only an approximate date for the completion of this building.",Arts and Crafts,Detached house
60,6 Fern Avenue Weston York,show_building.php?BuildingID=8512,,unknown,Residential,,Weston Heritage Conservation District,/tobuilt_bk/php/Buildingimages/6FernAve.jpg,6 Fern Avenue,,Arts and Crafts,Detached house
61,7-11 Gifford Street Cabbagetown Toronto,show_building.php?BuildingID=4895,,unknown,Residential,,Cabbagetown South Heritage Conservation District,/tobuilt_bk/php/Buildingimages/7-11Gifford.jpg,7-11 Gifford Street,,Arts and Crafts,Semi-detached house
62,15-17 Gifford Street Cabbagetown Toronto,show_building.php?BuildingID=4896,,unknown,Residential,,Cabbagetown South Heritage Conservation District,/tobuilt_bk/php/Buildingimages/15-17Gifford.jpg,15-17 Gifford Street,,Arts and Crafts,Semi-detached house
63,18 Gifford Street Cabbagetown Toronto,show_building.php?BuildingID=5103,,unknown,Residential,,Cabbagetown South Heritage Conservation District,/tobuilt_bk/php/Buildingimages/18GiffordSt.jpg,18 Gifford Street,,Arts and Crafts,Detached house
64,19-21 Gifford Street Cabbagetown Toronto,show_building.php?BuildingID=4897,,unknown,Residential,,Cabbagetown South Heritage Conservation District,/tobuilt_bk/php/Buildingimages/19-21Gifford.jpg,19-21 Gifford Street,,Arts and Crafts,Semi-detached house
65,23-25 Gifford Street Cabbagetown Toronto,show_building.php?BuildingID=4898,,unknown,Residential,,Cabbagetown South Heritage Conservation District,/tobuilt_bk/php/Buildingimages/23-25Gifford.jpg,23-25 Gifford Street,,Arts and Crafts,Semi-detached house
66,27-29 Gifford Street Cabbagetown Toronto,show_building.php?BuildingID=4899,,unknown,Residential,,Cabbagetown South Heritage Conservation District,/tobuilt_bk/php/Buildingimages/27-29Gifford.jpg,27-29 Gifford Street,,Arts and Crafts,Semi-detached house
67,31-33 Gifford Street Cabbagetown Toronto,show_building.php?BuildingID=4900,,unknown,Residential,,Cabbagetown South Heritage Conservation District,/tobuilt_bk/php/Buildingimages/31-33Gifford.jpg,31-33 Gifford Street,,Arts and Crafts,Semi-detached house
68,34-36 Gifford Street Cabbagetown Toronto,show_building.php?BuildingID=5106,,unknown,Residential,,Cabbagetown South Heritage Conservation District,/tobuilt_bk/php/Buildingimages/34-36GiffordSt.jpg,34-36 Gifford Street,,Arts and Crafts,Semi-detached house
69,35-37 Gifford Street Cabbagetown Toronto,show_building.php?BuildingID=4901,,unknown,Residential,,Cabbagetown South Heritage Conservation District,/tobuilt_bk/php/Buildingimages/35-37Gifford.jpg,35-37 Gifford Street,,Arts and Crafts,Semi-detached house
70,38-40 Gifford Street Cabbagetown Toronto,show_building.php?BuildingID=5107,,unknown,Residential,,Cabbagetown South Heritage Conservation District,/tobuilt_bk/php/Buildingimages/38-40GiffordSt.jpg,38-40 Gifford Street,,Arts and Crafts,Semi-detached house
71,39 Gifford Street Cabbagetown Toronto,show_building.php?BuildingID=4902,,unknown,Residential,,Cabbagetown South Heritage Conservation District,/tobuilt_bk/php/Buildingimages/39Gifford.jpg,39 Gifford Street,,Arts and Crafts,Detached house
72,41-43 Gifford Street Cabbagetown Toronto,show_building.php?BuildingID=4903,,unknown,Residential,,Cabbagetown South Heritage Conservation District,/tobuilt_bk/php/Buildingimages/41-43Gifford.jpg,41-43 Gifford Street,,Arts and Crafts,Semi-detached house
73,42-44 Gifford Street Cabbagetown Toronto,show_building.php?BuildingID=5108,,unknown,Residential,,Cabbagetown South Heritage Conservation District,/tobuilt_bk/php/Buildingimages/42-44GiffordSt.jpg,42-44 Gifford Street,,Arts and Crafts,Semi-detached house
74,46-48 Gifford Street Cabbagetown Toronto,show_building.php?BuildingID=5109,,unknown,Residential,,Cabbagetown South Heritage Conservation District,/tobuilt_bk/php/Buildingimages/46-48GiffordSt.jpg,46-48 Gifford Street,,Arts and Crafts,Semi-detached house
75,191 Guildwood Parkway Guildwood Scarborough,show_building.php?BuildingID=7431,,,Abandoned,,Heritage property,/tobuilt_bk/php/Buildingimages/GuildStudio.jpg,Guild Studio,"This building originally served as a garage and stables, later it was used for artist's workshops. It burned down circa 2011.",Arts and Crafts,Low-rise
76,191 Guildwood Parkway Guildwood Scarborough,show_building.php?BuildingID=7430,,1915,Abandoned,,Heritage property,/tobuilt_bk/php/Buildingimages/GuildInn1.jpg,Guild Inn,"This building was originally a summer home for Colonel Harold Bickford. In 1932, when the property was purchased by Rosa Breithaupt, it became an artist's colony. The property served military purposes during the Second World War, and only in 1947 did it become an artist's colony again. The grounds on which the Guild Inn sits were sold to the city for parkland in 1978, and in 1996 the Parks and Recreation Division took on responsibility for the Inn. More recently, it has been abandoned for some time. In August, 2009, it was announced that Centennial College will renovate the building and that it will contain the college's Institute for Culture and Heritage.",Arts and Crafts,Low-rise
77,383 Huron Street University of Toronto Toronto,show_building.php?BuildingID=2230,['Also see Douglas BrownÂ´s Book available in pdf. form in Resources'],1892,Religious,,Heritage property,/tobuilt_bk/php/Buildingimages/StThomasChurch1.jpg,St. Thomas' Anglican Church,"This building was altered in 1917 by the original architect, Eden Smith.",Arts and Crafts,Religious
78,406 Jarvis Street Church-Wellesley Toronto,show_building.php?BuildingID=2160,['Charles J. Gibson'],1900,Educational,,Heritage property,/tobuilt_bk/php/Buildingimages/IveyHouse.jpg,Ivey House,,Arts and Crafts,Detached house
79,2 King Street Weston York,show_building.php?BuildingID=6873,"['DunlopFarrow Architects Inc.', 'Lindsay and Brydon']",1914,Library,,Heritage property,/tobuilt_bk/php/Buildingimages/TPLWeston1.jpg,Weston Library,"The Weston Library opened in 1914, a year after the Carnegie Corporation provided a $10,000 grant to the Weston Public Library Board. It was renovated and expanded in 1981, and refurbished in 2005.",Arts and Crafts,Low-rise
80,8 King Street Crescent Weston York,show_building.php?BuildingID=8431,,unknown,Residential,,Weston Heritage Conservation District,/tobuilt_bk/php/Buildingimages/8KingStCres.jpg,8 King Street Crescent,,Arts and Crafts,Detached house
81,12 King Street Crescent Weston York,show_building.php?BuildingID=8438,,unknown,Residential,,Weston Heritage Conservation District,/tobuilt_bk/php/Buildingimages/12KingStCres1.jpg,12 King Street Crescent,,Arts and Crafts,Detached house
82,14 King Street Crescent Weston York,show_building.php?BuildingID=8439,,unknown,Residential,,Weston Heritage Conservation District,/tobuilt_bk/php/Buildingimages/14KingStCres.jpg,14 King Street Crescent,,Arts and Crafts,Detached house
83,35 Little Avenue Weston York,show_building.php?BuildingID=8475,,unknown,Residential,,Weston Heritage Conservation District,/tobuilt_bk/php/Buildingimages/35LittleAve.jpg,35 Little Avenue,,Arts and Crafts,Detached house
84,40 Lyall Avenue Upper Beach Toronto,show_building.php?BuildingID=8019,,1922,Residential,,Lyall Avenue Heritage Conservation District,/tobuilt_bk/php/Buildingimages/40LyallAve.jpg,40 Lyall Avenue,,Arts and Crafts,Detached house
85,48 Lyall Avenue Upper Beach Toronto,show_building.php?BuildingID=8026,,1956,Residential,,Lyall Avenue Heritage Conservation District,/tobuilt_bk/php/Buildingimages/48LyallAve.jpg,48 Lyall Avenue,,Arts and Crafts,Detached house
86,47 Madison Avenue The Annex Toronto,show_building.php?BuildingID=3994,['Also see Douglas BrownÂ´s Book available in pdf. form in Resources'],1906,Residential,,"West Annex Phase I, Madison Avenue, Heritage Conservation District",/tobuilt_bk/php/Buildingimages/47MadisonAv.jpg,47 Madison Avenue,"Builder Note:E. Wickham for Thomas Andrews. This property contributes to the Toronto Annex streetscape of the District with a house form building similar in height and front yard setback to its neighbours, and a front facing gable. The 2.5 storey detached building with appearance of an assymetric centre hall  plan constructed during the period of significance between 1885 and 1925 in an Arts and Crafts style by an important architect of the period, Eden Smith, with sufficient integrity to permit restoration. Features representative of the Arts and Crafts style include the asymmetric composition, absence of machine made mass produced detail, emphasis on the horizontal, faceted turret with high windows and low sloped roof, hipped steep main roof, and stuccoed bay windows.",Arts and Crafts,Detached house
87,138 Madison Avenue The Annex Toronto,show_building.php?BuildingID=5343,['S. Hamilton Townsend'],1903,Residential,,"West Annex Phase I, Madison Avenue, Heritage Conservation District",/tobuilt_bk/php/Buildingimages/138Madison1.jpg,138 Madison Avenue,"Style Note: Eclectic, English Aesthetic Movement, California Clinker Brick

This property contributes to the Toronto Annex streetscape of the District with a house form building similar in height and front yard setback to its neighbours. The
2.5 storey detached villa with appearance of an assymetric centre hall plan constructed during the period of signi cance between 1885 and 1925 in Eclectic, English Aesthetic Movement style by an important architect of the period with suf cient integrity to permit restoration. Features representative of the English Aesthetic movement style include asymmetrical massing and door location, central chimney indicating a possible inglenook in the entry hall, and horizontal emphasis in windows and other detailing. The clinker brick is popular in similarly in uenced houses in California. Gates and front garden wall important features.

Hamilton Townsend was OAA president, opposed to TorontoÂ´s Architectural Eighteen Club Reference, Contract Record, volume 14, Sept 1903

It was determined that the architect for no. 138 Madison, was Hamilton
Townsend, not Jocelyn Davidson as attributed by Patricia McHugh who also mistakenly named the house Rivermead. McHughâs information conflicts with the
1903 Contract Record [Toronto], vol. Xiv, 16 September 1903, which indicates the
house at 138 Madison as designed by architect S.H. Townsend. Gardiner descendants cleared the confusion. The Gardiner family did live at 138 Madison Avenue, but Rivermead was the name of the family weekend property in Weston, designed by Jocelyn Davidson.",Arts and Crafts,Detached house
