poi_id,name,build_year,build_decade,build_year_clean,demolished_year,address,latitude,longitude,external_url,image_url,heritage_status,current_use,poi_type,poi_type_simple,source,details,style,neighbourhood
71,20-22 Nasmith Avenue,unknown,,,,"20-22 Nasmith Avenue Cabbagetown Toronto, ON",43.66348,-79.36276,http://www.acotoronto.ca/show_building.php?BuildingID=5120,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/20-22NasmithAve.jpg,Cabbagetown South Heritage Conservation District,,Semi-detached house,Building,http://www.acotoronto.ca/,,Arts and Crafts,Cabbagetown-South St.James Town (71)
72,Sunny View Public School,1953,1950.0,1953.0,,"450 Blythwood Road Lawrence Park Toronto, ON",43.71784,-79.39445,http://www.acotoronto.ca/show_building.php?BuildingID=11142,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/1f5e28c0.jpg,,,School,Building,http://www.acotoronto.ca/,,Arts and Crafts,Lawrence Park South (103)
73,St. Matthew's Lawn Bowling Club,1906,1900.0,1906.0,,"450 Broadview Avenue Riverdale Toronto, ON",43.66754,-79.3536,http://www.acotoronto.ca/show_building.php?BuildingID=3458,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/StMatthewsLawnBowling.jpg,Heritage property,,Low-rise,Building,http://www.acotoronto.ca/,"Formerly at 548 Gerrard Street East This building was relocated to the eastern edge of Riverdale Park, at the top of the slope.",Arts and Crafts,North Riverdale (68)
77,31-33 Gifford Street,unknown,,,,"31-33 Gifford Street Cabbagetown Toronto, ON",43.66367,-79.36326,http://www.acotoronto.ca/show_building.php?BuildingID=4900,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/31-33Gifford.jpg,Cabbagetown South Heritage Conservation District,,Semi-detached house,Building,http://www.acotoronto.ca/,,Arts and Crafts,Cabbagetown-South St.James Town (71)
79,46-48 Gifford Street,unknown,,,,"46-48 Gifford Street Cabbagetown Toronto, ON",43.663909999999994,-79.36384,http://www.acotoronto.ca/show_building.php?BuildingID=5109,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/46-48GiffordSt.jpg,Cabbagetown South Heritage Conservation District,,Semi-detached house,Building,http://www.acotoronto.ca/,,Arts and Crafts,Cabbagetown-South St.James Town (71)
80,40 Lyall Avenue,1922,1920.0,1922.0,,"40 Lyall Avenue Upper Beach Toronto, ON",43.681259999999995,-79.29553,http://www.acotoronto.ca/show_building.php?BuildingID=8019,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/40LyallAve.jpg,Lyall Avenue Heritage Conservation District,,Detached house,Building,http://www.acotoronto.ca/,,Arts and Crafts,East End-Danforth (62)
82,One Six Nine,2006,2000.0,2006.0,,"169 John Street Grange Park Toronto, ON",43.65055,-79.39106,http://www.acotoronto.ca/show_building.php?BuildingID=7889,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/OneSixNine1.jpg,No heritage status,,Mid-rise,Building,http://www.acotoronto.ca/,,Neo-modernist,Kensington-Chinatown (78)
83,10 King Maple Place,unknown,,,,"10  King Maple Place Bayview Village North York, ON",43.77813,-79.37539,http://www.acotoronto.ca/show_building.php?BuildingID=11628,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/a84c4017.jpg,No heritage status,,Low-rise,Building,http://www.acotoronto.ca/,,Neo-modernist,Bayview Village (52)
84,M5V,2011,2010.0,2011.0,,"371-379 King Street West Entertainment District Toronto, ON",43.6486892700195,-79.38543701171879,http://www.acotoronto.ca/show_building.php?BuildingID=5666,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/M5VR5.jpg,No heritage status,,High-rise,Building,http://www.acotoronto.ca/,"First proposed at Toronto East York Community Council in April, 2006. Marketing for a project called M5V began a few months previous to that date. The proposal is opposed by City Council in its current form.",Neo-modernist,Bay Street Corridor (76)
85,12 King Street Crescent,unknown,,,,"12 King Street Crescent Weston York, ON",43.7006521,-79.52098790000001,http://www.acotoronto.ca/show_building.php?BuildingID=8438,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/12KingStCres1.jpg,Weston Heritage Conservation District,,Detached house,Building,http://www.acotoronto.ca/,,Arts and Crafts,Weston (113)
88,5-7 Nasmith Avenue,unknown,,,,"5-7 Nasmith Avenue Cabbagetown Toronto, ON",43.66324,-79.36216999999999,http://www.acotoronto.ca/show_building.php?BuildingID=4905,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/5-7NasmithAve.jpg,Cabbagetown South Heritage Conservation District,,Semi-detached house,Building,http://www.acotoronto.ca/,,Arts and Crafts,Cabbagetown-South St.James Town (71)
89,9-11 Nasmith Avenue,unknown,,,,"9-11 Nasmith Avenue Cabbagetown Toronto, ON",43.66333,-79.36221,http://www.acotoronto.ca/show_building.php?BuildingID=4906,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/9-11NasmithAve.jpg,Cabbagetown South Heritage Conservation District,,Semi-detached house,Building,http://www.acotoronto.ca/,,Arts and Crafts,Cabbagetown-South St.James Town (71)
90,16-18 Nasmith Avenue,unknown,,,,"16-18 Nasmith Avenue Cabbagetown Toronto, ON",43.66336,-79.36270999999999,http://www.acotoronto.ca/show_building.php?BuildingID=5119,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/16-18NasmithAve.jpg,Cabbagetown South Heritage Conservation District,,Semi-detached house,Building,http://www.acotoronto.ca/,,Arts and Crafts,Cabbagetown-South St.James Town (71)
91,24-26 Nasmith Avenue,unknown,,,,"24-26 Nasmith Avenue Cabbagetown Toronto, ON",43.66357,-79.3628,http://www.acotoronto.ca/show_building.php?BuildingID=5121,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/24-26NasmithAve.jpg,Cabbagetown South Heritage Conservation District,,Semi-detached house,Building,http://www.acotoronto.ca/,,Arts and Crafts,Cabbagetown-South St.James Town (71)
93,32-34 Nasmith Avenue,unknown,,,,"32-34 Nasmith Avenue Cabbagetown Toronto, ON",43.663759999999996,-79.36287,http://www.acotoronto.ca/show_building.php?BuildingID=5123,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/32-34NasmithAve.jpg,Cabbagetown South Heritage Conservation District,,Semi-detached house,Building,http://www.acotoronto.ca/,,Arts and Crafts,Cabbagetown-South St.James Town (71)
95,37-39 Nasmith Avenue,unknown,,,,"37-39 Nasmith Avenue Cabbagetown Toronto, ON",43.66402,-79.36249000000001,http://www.acotoronto.ca/show_building.php?BuildingID=4913,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/37-39NasmithAve.jpg,Cabbagetown South Heritage Conservation District,,Semi-detached house,Building,http://www.acotoronto.ca/,,Arts and Crafts,Cabbagetown-South St.James Town (71)
96,41-43 Nasmith Avenue,unknown,,,,"41-43 Nasmith Avenue Cabbagetown Toronto, ON",43.664120000000004,-79.36253,http://www.acotoronto.ca/show_building.php?BuildingID=4914,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/41-43NasmithAve.jpg,Cabbagetown South Heritage Conservation District,,Semi-detached house,Building,http://www.acotoronto.ca/,,Arts and Crafts,Cabbagetown-South St.James Town (71)
98,Ukrainian Evangelical Baptist Church,1897,1890.0,1897.0,,"148 Tecumseth Street Niagara Toronto, ON",43.64613,-79.4066,http://www.acotoronto.ca/show_building.php?BuildingID=5226,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/UkranianEvangelicalChurch.jpg,Heritage property,,Religious,Building,http://www.acotoronto.ca/,,Arts and Crafts,Niagara (82)
99,Walmer Road Baptist Church,1892,1890.0,1892.0,,"38 Walmer Road The Annex Toronto, ON",43.66857,-79.4067,http://www.acotoronto.ca/show_building.php?BuildingID=5301,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/WalmerRdBaptistChurch1.jpg,Heritage property,,Religious,Building,http://www.acotoronto.ca/,,Arts and Crafts,Annex (95)
105,90 Madison Avenue,1906,1900.0,1906.0,,"90 Madison Avene The Annex Toronto, ON",43.6712,-79.40462,http://www.acotoronto.ca/show_building.php?BuildingID=10403,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/691993c2.jpg,"West Annex Phase I, Madison Avenue, Heritage Conservation District",,,Building,http://www.acotoronto.ca/,"This property contributes to the Toronto Annex streetscape of the District with a house form building similar in height and front yard setback to its neighbours. The 2.5 storey detached building, with appearance of a side or centre hall rotated plan, was constructed during the period of significance between 1885 and 1925 in the Annex Style and retains sufficient integrity to permit restoration.  Features representative of the Annex style include red brick, rustic stone sills and lintels, Queen Anne faceted dormer, recessed entry, masonry porch, and sleeping balcony. Large non-contributing addition to the south was added during the period of HCD study.",Annex Style,Annex (95)
107,14 Madison Avenue,1893,1890.0,1893.0,,"14 Madison Avenue The Annex Toronto, ON",43.66787,-79.40333000000001,http://www.acotoronto.ca/show_building.php?BuildingID=5326,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/14Madison.jpg,"West Annex Phase I, Madison Avenue, Heritage Conservation District",,Detached house,Building,http://www.acotoronto.ca/,"This property contributes to the Toronto Annex streetscape of the District with a house form building similar in height and front yard setback to its neighbours, and a front facing gable. The 2.5 storey detached building, with appearance of a sidehall or centre hall rotated plan, was constructed during the period of significance between 1885 and 1925 in the Annex Style and retains sufficient integrity to permit restoration. Features representative of the Annex style include red brick with basketweave panels, rusticated stone foundations and ashlar sills, terra cotta shingling and details, front facing Queen Anne gable, recessed entry, and semi circular arches.",Annex Style,Annex (95)
108,16 Madison Avenue,1893,1890.0,1893.0,,"16 Madison Avenue The Annex Toronto, ON",43.66795,-79.40337,http://www.acotoronto.ca/show_building.php?BuildingID=5327,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/16-18Madison.jpg,"West Annex Phase I, Madison Avenue, Heritage Conservation District",,Semi-detached house,Building,http://www.acotoronto.ca/,"This property contributes to the Toronto Annex streetscape of the District with a house form building similar in height and front yard setback to its neighbours, and a front facing gable. The 2.5 storey asymmetric semi-detached building, with appearance of a centre hall rotated plan, was constructed during the period of significance between 1885 and 1925 in the Annex Style and retains sufficient integrity to permit restoration. Features representative of the Annex style include red brick, rusticated stone foundations and sills,terra cotta shingling , front facing gable, recessed entry, and semi circular arches. Former sleeping porch has been filled in.",Annex Style,Annex (95)
109,17 Madison Avenue,1892,1890.0,1892.0,,"17 Madison Avenue The Annex Toronto, ON",43.668040000000005,-79.40281,http://www.acotoronto.ca/show_building.php?BuildingID=3989,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/17-19MadisonAv.jpg,"West Annex Phase I, Madison Avenue, Heritage Conservation District",,Semi-detached house,Building,http://www.acotoronto.ca/,"This property contributes to the Toronto Annex streetscape of the District with a house form building similar in height and front yard setback to its neighbours, and a front facing gable. The 2.5 storey asymmetric semi-detached building, with appearance of side hall or centre hall rotated plan, was constructed during the period of significance between 1885 and 1925 in the Annex Style and retains sufficient integrity to permit restoration. Features representative of the Annex style include complex patterned red brick, rusticated stone foundations and sills, terra cotta shingling, front facing gable, carved sandstone, basketweave terra cotta, recessed entry, and semi circular arches.",Annex Style,Annex (95)
113,19 Madison Avenue,1892,1890.0,1892.0,,"19 Madison Avenue The Annex Toronto, ON",43.66809,-79.40283000000001,http://www.acotoronto.ca/show_building.php?BuildingID=10527,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/2e33554c.jpg,"West Annex Phase I, Madison Avenue, Heritage Conservation District",,Semi-detached house,Building,http://www.acotoronto.ca/,"This property contributes to the Toronto Annex streetscape of the District with a house form building similar in height and front yard setback to its neighbours. The 3 storey asymmetric semi-detached building, with appearance of side or centre hall rotated plan, was constructed during the period of significance between 1885 and 1925 in the Annex Style and retains sufficient integrity to permit restoration. Features representative of the Annex style include red brick, rusticated stone foundations and sills, basketweave terra cotta, egg and dart terra cotta, carved sandstone, recessed entry, and semi circular arches.",Annex Style,Annex (95)
117,21 Madison Avenue,1892,1890.0,1892.0,,"21  Madison Avenue The Annex Toronto, ON",43.66817,-79.40285,http://www.acotoronto.ca/show_building.php?BuildingID=3990,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/21-23MadisonAv.jpg,"West Annex Phase I, Madison Avenue, Heritage Conservation District",,Semi-detached house,Building,http://www.acotoronto.ca/,"This property contributes to the Toronto Annex streetscape of the District with a house form building similar in height and front yard setback to its neighbours, and a small front facing gable. The 2.5 storey asymmetric semi-detached building, with appearance of side or centre hall rotated plan, was constructed during the period of significance between 1885 and 1925 in the Annex Style and retains sufficient integrity to permit restoration. Features representative of the Annex style include complex patterned red brick, rusticated stone foundations and sills, ashlar lintels, sandstone trim, terra cotta insets, recessed entry, and semi circular arches.",Annex Style,Annex (95)
118,22 Madison Avenue,1892,1890.0,1892.0,,"22 Madison Avenue The Annex Toronto, ON",43.66817,-79.40344,http://www.acotoronto.ca/show_building.php?BuildingID=5329,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/22Madison.jpg,"West Annex Phase I, Madison Avenue, Heritage Conservation District",,Detached house,Building,http://www.acotoronto.ca/,"This property contributes to the Toronto Annex streetscape of the District with a house form building similar in height and front yard setback to its neighbours. The 2.5 storey detached building with appearance of an asymmetric centre hall plan, was constructed during the period of significance between 1885 and 1925 in the Annex Style and retains sufficient integrity to permit restoration. Features representative of the Annex style include red brick, rusticated stone foundations, lintels and ashlar sills, terra cotta shingling and insets, carved sandstone detailing and stained glass.",Annex Style,Annex (95)
119,23 Madison Avenue,1892,1890.0,1892.0,,"23 Madison Avenue The Annex Toronto, ON",43.66825,-79.40290999999999,http://www.acotoronto.ca/show_building.php?BuildingID=10528,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/bd3081cd.jpg,"West Annex Phase I, Madison Avenue, Heritage Conservation District",,Semi-detached house,Building,http://www.acotoronto.ca/,"This property contributes to the Toronto Annex streetscape of the District with a house form building similar in height and front yard setback to its neighbours, and a front facing gable. The 2.5 storey asymmetric semi-detached building, with appearance of side hall or centre hall rotated plan, was constructed during the period of significance between 1885 and 1925 in the Annex Style and retains sufficient integrity to permit restoration. Features representative of the Annex style include red brick, rusticated stone foundations and sills,terra cotta insets, carved sandstone, terra cotta shingling on the Queen Anne front facing gable, recessed entry, and semi circular arches.",Annex Style,Annex (95)
121,26 Madison Avenue,1893,1890.0,1893.0,,"26 Madison Avenue The Annex Toronto, ON",43.66839,-79.40351,http://www.acotoronto.ca/show_building.php?BuildingID=10470,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/66d9710f.jpg,"West Annex Phase I, Madison Avenue, Heritage Conservation District",,Semi-detached house,Building,http://www.acotoronto.ca/,"This property contributes to the Toronto Annex streetscape of the District with a house form building similar in height and front yard setback to its neighbours, and a front facing gable. The 2.5 storey asymmetric semi detached building, with appearance of a side or centre hall rotated plan, was constructed during the period of significance between 1885 and 1925 in the Annex Style and retains sufficient integrity to permit restoration. Features representative of the Annex style include red brick, rusticated stone foundations and sills, terra cotta shingling and detailing, front facing gable, recessed entry, and semi circular arches.",Annex Style,Annex (95)
130,36 Madison Avenue,1889,1880.0,1889.0,,"36 Madison Avenue The Annex Toronto, ON",43.66887,-79.40374,http://www.acotoronto.ca/show_building.php?BuildingID=5334,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/36-38Madison.jpg,"West Annex Phase I, Madison Avenue, Heritage Conservation District",,Semi-detached house,Building,http://www.acotoronto.ca/,"This property contributes to the Toronto Annex streetscape of the District with a house form building similar in height and front yard setback to its neighbours, with a front facing gable. The 2.5 storey asymmetric semi detached building, with appearance of a centrehall rotated plan, was constructed during the period of significance between 1885 and 1925 in the Annex Style and retains sufficient integrity to permit restoration. Features representative of the Annex style include red brick, rusticated stone  sills, decorative slate shingling, Queen Anne front facing gable, and semi circular arch at the side entry.",Annex Style,Annex (95)
131,Lewis Lukes House,1887,1880.0,1887.0,,"37 Madison Avenue The Annex Toronto, ON",43.66878,-79.40305,http://www.acotoronto.ca/show_building.php?BuildingID=3993,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/37MadisonAv.jpg,"West Annex Phase I, Madison Avenue, Heritage Conservation District",,Detached house,Building,http://www.acotoronto.ca/,"This property contributes to the Toronto Annex streetscape of the District with a house form building similar in height and front yard setback to its neighbours, and a front facing gable. The 2.5 storey detached building, with appearance of a side or centre hall rotated plan was designed by an important architect of the period, E.J. Lennox during the period of significance between 1885 and 1925, was the first example of the Annex Style and retains sufficient integrity to permit restoration. Features representative of the Annex style include red brick, rusticated stone foundations and sills,decorative  shingling, front facing gable, sleeping porches, a recessed entry, and semi circular arches.",Annex Style,Annex (95)
132,2 Ossington,unknown,,,,"2 Ossington Avenue Trinity-Bellwoods Toronto, ON",43.64428,-79.41920999999999,http://www.acotoronto.ca/show_building.php?BuildingID=8692,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/2OssingtonR.jpg,No heritage status,,Mid-rise,Building,http://www.acotoronto.ca/,,Neo-modernist,Trinity-Bellwoods (81)
133,38 Madison Avenue,1889,1880.0,1889.0,,"38 Madison Avenue The Annex Toronto, ON",43.66896,-79.40374,http://www.acotoronto.ca/show_building.php?BuildingID=10473,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/44efeb49.jpg,"West Annex Phase I, Madison Avenue, Heritage Conservation District",,Semi-detached house,Building,http://www.acotoronto.ca/,"This property contributes to the Toronto Annex streetscape of the District with a house form building similar in height and front yard setback to its neighbours, with a front facing gable.  The 2.5 storey asymmetric semi detached building, with appearance of a side hall plan, was constructed during the period of significance between 1885 and 1925 in the Annex Style and retains sufficient integrity to permit restoration. Features representative of the Annex style include red brick, rusticated stone  sills, decorative slate shingling, front facing Queen Anne gable, recessed entry, and semi circular arches.",Annex Style,Annex (95)
135,55 Madison Avenue,1896,1890.0,1896.0,,"55 Madison Avenue The Annex Toronto, ON",43.669990000000006,-79.40355,http://www.acotoronto.ca/show_building.php?BuildingID=10538,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/836605b3.jpg,"West Annex Phase I, Madison Avenue, Heritage Conservation District",,Detached house,Building,http://www.acotoronto.ca/,"This property contributes to the Toronto Annex streetscape of the District with a house form building similar in height and front yard setback to its neighbours, and a front facing gable. The 2.5 storey detached building, with appearance of a centre hall rotated plan, was constructed during the period of significance between 1885 and 1925 in the Annex Style and retains sufficient integrity to permit restoration.  Features representative of the Annex style include red brick, rusticated stone foundations and sills,  recessed side entry, and semi circular arches. Roof addition is a non-contributing element.",Annex Style,Annex (95)
136,56 Madison Avenue,1898,1890.0,1898.0,,"56 Madison Avenue The Annex Toronto, ON",43.669709999999995,-79.40405,http://www.acotoronto.ca/show_building.php?BuildingID=10475,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/980b9cf4.jpg,"West Annex Phase I, Madison Avenue, Heritage Conservation District",,Detached house,Building,http://www.acotoronto.ca/,"This property contributes to the Toronto Annex streetscape of the District with a house form building similar in height and front yard setback to its neighbours, and a front facing gable. The building is a detached 2.5 storey asymmetric centre hall plan constructed during the period of significance between 1885 and 1925 in the Annex Style with sufficient integrity to permit restoration. Features representative of the Annex style include red brick, rusticated stone foundations and sills, decorative terra cotta shingling, front facing gable, masonry entrance porch, semi circular arches, side porch and sleeping balcony.",Annex Style,Annex (95)
137,58 Madison Avenue,1893,1890.0,1893.0,,"58 Madison Avenue The Annex Toronto, ON",43.66983,-79.4041,http://www.acotoronto.ca/show_building.php?BuildingID=10476,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/e6ff5ab6.jpg,"West Annex Phase I, Madison Avenue, Heritage Conservation District",,Detached house,Building,http://www.acotoronto.ca/,"This property contributes to the Toronto Annex streetscape of the District with a house form building similar in height and front yard setback to its neighbours, and a front facing gable. The building is a detached 2.5 storey side hall plan constructed during the period of significance between 1885 and 1925 in the Annex Style with sufficient integrity to permit restoration. Features representative of the Annex style include red brick, rusticated stone foundations and sills, terra cotta shingling, front facing Queen Anne gable. Porch is non-contributing.",Annex Style,Annex (95)
139,Garden Void House,2014-2015,2010.0,2014.0,,"237 Pleasant Avenue Newtonbrook North York, ON",43.79002,-79.43097,http://www.acotoronto.ca/show_building.php?BuildingID=11637,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/157fd59f.jpg,No heritage status,,Low-rise,Building,http://www.acotoronto.ca/,,Neo-modernist,Newtonbrook West (36)
142,61 Madison Avenue,1891,1890.0,1891.0,,"61 Madison Avenue The Annex Toronto, ON",43.67006,-79.40361999999999,http://www.acotoronto.ca/show_building.php?BuildingID=3996,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/61-63MadisonAv.jpg,"West Annex Phase I, Madison Avenue, Heritage Conservation District",,Semi-detached house,Building,http://www.acotoronto.ca/,"This property contributes to the Toronto Annex streetscape of the District with a house form building similar in height and front yard setback to its neighbours, with a front facing gable. The 2.5 storey asymmetric semi detached building, with appearance of a side or centre hall rotated plan, was constructed during the period of significance between 1885 and 1925 in the Annex Style and retains sufficient integrity to permit restoration. Features representative of the Annex style include red brick, corbelled bay, rusticated stone foundations, lintels and sills, terra cotta shingling, front facing gable, recessed entry, and semi circular arches.",Annex Style,Annex (95)
144,63 Madison Avenue,1893,1890.0,1893.0,,"63 Madison Avenue The Annex Toronto, ON",43.670120000000004,-79.40364,http://www.acotoronto.ca/show_building.php?BuildingID=10540,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/94fa96ec.jpg,"West Annex Phase I, Madison Avenue, Heritage Conservation District",,Semi-detached house,Building,http://www.acotoronto.ca/,"This property contributes to the Toronto Annex streetscape of the District with a house form building similar in height and front yard setback to its neighbours, with an octagonal corner tower. The 2.5 storey asymmetric semi detached building, with appearance of a side or centre hall rotated plan, was constructed during the period of significance between 1885 and 1925 in the Annex Style and retains sufficient integrity to permit restoration. Features representative of the Annex style include red brick, rusticated stone foundations, lintels and sills, cast terra cotta, front facing porch gable, recessed entry and semi circular arches.",Annex Style,Annex (95)
